Item,NRI,PIO,OCI,Other Foreigners,Total Inbound Expenditure,Total  (Adjusted using SUT information)
A.1 Tourism characteristic products/ services,"54,373",1731,8258,"1,45,542","2,09,904","1,73,941"
1. Accommodation services/Hotels,"19,467",598,3534,"83,983","1,07,582","41,373"
2. Food and beverage serving services/ restaurants,"12,275",327,1066,"25,888","39,556","73,470"
3. Railway passenger transport services,664,2,40,1326,2032,2032
4. Road passenger transport services,7088,539,540,9418,"17,585","18,699"
5. Water passenger transport services,150,0,95,334,578,614
6. Air passenger transport services,4976,193,261,7898,"13,327","14,172"
7. Transport equipment rental services,810,10,197,4904,5922,330
8. Travel agencies and other reservation services/ supporting and auxiliary transport activities,743,15,133,3182,4073,4073
9. Cultural and religious services,950,8,911,3527,5396,974
10. Sports and other recreational services,752,4,405,1179,2339,6690
11. Health and medical related services,6499,34,1077,3904,11514,"11,514"
A.2 Tourism connected products,"25,586",299,5895,"30,343","62,122","61,390"
12. Readymade garments,"12,588",176,2181,"11,745","26,690","20,364"
13. Processed food,1516,28,500,1693,3737,2851
14. Alcohol and tobacco products,1266,18,691,3600,5576,4254
15. Travel related consumer goods,537,7,119,551,1214,"14,918"
16. Footwear,1503,13,289,1877,3681,2809
"17. Soaps, cosmetics and glycerine",463,2,25,346,836,638
18. Gems and jewellery,6961,44,1950,9374,"18,330","13,985"
"19. Books, journals, magazines, stationery, etc.",751,10,142,1156,2059,1571
Total Expenditure,"79,959",2030,"14,152","1,75,885","2,72,026","2,35,331"
Estimated Number of Trips,"52,74,274","91,214","2,74,063","78,83,263","1,35,22,814","1,35,22,814"
Per-trip Expenditure (Rs.),"1,51,602","2,22,520","5,16,395","2,23,112","2,01,161","1,74,025"
