Item,Business,Leisure,Social,Religious,Educational,Medical,Shopping,Other,Total,Total  (Adjus- ted using SUT infor- mation)
A.1 Tourism charac- teristic products/ services,"35,561","32,355","1,81,528","45,723",6071,"90,184",387,"14,013","4,05,822","4,41,356"
1. Accommodation services/hotels,3308,2496,1272,2943,518,3362,35,651,"14,587",5610
2. Food and beverage serving services/restaur- ants,4336,4149,"21,622",7899,1039,6632,61,1958,"47,696","88,588"
3. Railway passenger transport services,1148,2523,"10,476",3430,546,487,21,466,"19,096","19,096"
4. Road passenger transport services,5892,9396,"1,18,856","26,141",2391,5631,201,4346,"1,72,855","1,83,807"
5. Water passenger transport services,99,111,475,85,7,62,4,26,869,924
6. Air passenger transport services,"19,627","12,072","17,758",1573,1206,1698,39,536,"54,508","57,962"
7. Transport equipment rental services,751,939,4578,2622,109,2044,13,321,"11,377",634
8. Travel agencies and other reservation services/supporting,104,447,3669,638,50,253,8,177,5345,5345
and auxiliary transport activities,,,,,,,,,,
9. Cultural and religious services,1,21,51,210,1,1,0,1,286,52
10. Sports and other recreational services,3,20,41,3,2,0,0,4,73,209
11. Health and medical related services,291,181,2730,179,203,"70,013",4,5528,"79,130","79,130"
A.2 Tourism connected products,5525,4655,"89,141",7740,863,1696,1578,2623,"1,13,823","1,11,837"
12. Readymade garments,3424,2847,"53,363",3694,480,638,1016,1385,66847,"51,003"
13. Processed Food,536,494,"11,490",1639,100,604,19,319,"15,200","11,597"
14. Alcohol and Tobacco products,432,204,3166,396,29,142,14,189,4573,3489
15. Travel-related consumer goods,106,220,1250,441,23,61,30,38,2168,"26,646"
16. Footwear,635,535,7835,549,105,120,172,414,"10,365",7908
"17. Soaps, cosmetics and glycerine",75,52,730,182,19,112,7,48,1225,935
18. Gems and jewellery,266,185,"10,060",478,22,9,313,210,"11,543",8807
"19. Books, journals, magazines, stationery, etc.",51,119,1248,362,85,10,7,20,1902,1452
Total Expenditure,"41,086","37,010","2,70,670","53,464",6935,"91,879",1965,"16,636","5,19,645","5,53,193"
Estimated Number of trips,"2,45,29,843","2,14,78,545","97,79,65,717","9,25,44,355","1,24,97,503","4,13,14,649","12,09,230","3,04,15,967","12,019,55,810","12,019,55,810"
Per-trip Expenditure (Rs.),"16,749","17,231",2768,5777,5549,"22,239","16,248",5470,4323,4602
