Item,Business,Leisure,Social,Religious,Educational,Medical,Other,Total,Total (Adjusted using SUT
,,,,,,,,,information)
A.1 Tourism characteristic products/ser-vices,2620,2487,3889,342,715,354,898,"11,306",11735
1. Accommodation services/Hotels,815,401,662,31,238,24,64,2236,860
2. Food and beverage serving services/ Restaurants,518,556,357,44,138,19,414,2047,3802
3. Railway passenger transport services,89,58,47,10,13,0,36,254,254
4. Road passenger transport services,456,560,468,101,150,8,100,1844,1961
5. Water passenger transport services,2,4,3,0,1,0,3,12,13
6. Air passenger transport services,206,379,1167,2,40,1,81,1876,1994
7. Transport equipment rental services,119,65,28,48,58,1,60,378,21
8. Travel agencies and other reservation services/ supporting,70,18,792,2,7,0,82,971,971
and auxiliary transport activities,,,,,,,,,
9. Cultural and religious services,18,18,29,7,1,0,1,75,13
10. Sports and other recreational services,22,30,42,13,13,1,4,125,356
11. Health and medical related services,305,398,294,84,57,300,52,1490,1490
A.2 Tourism connected products,2009,2874,2580,434,1392,50,783,"10,122","12,840"
12. Readymade garments,1052,1428,1343,268,844,20,375,5330,4066
13. Processed food,299,335,215,30,127,3,120,1127,860
14. Alcohol and tobacco products,124,100,337,20,24,2,35,641,489
15. Travel related consumer goods,77,125,75,54,72,9,32,444,5455
16. Footwear,194,231,141,34,146,8,130,885,675
"17. Soaps, cosmetics and glycerine",29,41,9,1,10,0,66,156,119
18. Gems and jewellery,152,569,424,23,50,6,18,1242,948
"19. Books, journals, magazines, stationery, etc.",83,45,37,4,119,2,7,298,227
Total Expenditure,4630,5362,6469,776,2107,404,1681,"21,428","24,575"
Estimated Number of Tourists,"71,44,707","61,74,364","28,03,446","7,10,321","11,18,648","1,06,500","22,33,649","2,02,91,635","2,02,91,635"
Per-tourist Expenditure (Rs.),6480,8684,"23,075","10,924","18,838","37,968",7524,"10,560","12,111"
