Industries,Adjusted Inbound Tourism Consump- tion,Adjusted Domestic Tourism Consump- tion,Adjusted Outbound Tourism Consumption,Adjusted Total Tourism Consumption
A 1. Tourism characteristic products,"1,73,941","4,41,356","11,735","6,27,032"
1. Accommodation services/hotels,"41,373",5610,860,"47,843"
2. Food and beverage serving services/restaurants,"73,470","88,588",3802,"1,65,860"
3. Railway passenger transport services,2032,"19,096",254,"21,382"
4. Road passen ger transport services,"18,699","1,83,807",1961,"2,04,467"
5. Water passenger transport services,614,924,13,1551
6. Air passenger transport services,"14,172","57,962",1994,"74,127"
7. Transport equipment rental services,330,634,21,985
8. Travel agencies and other reservation services/ supporting and auxiliary transport activities,4073,5345,971,"10,389"
9. Cultural and religious services,974,52,13,1039
10. Sports and other recreational services,6690,209,356,7255
11. Health and medical related services,11514,"79,130",1490,92134
A.2 Tourism connected products,"61,390","1,11,837","12,840","1,86,067"
12. Readymade garments,"20,364","51,003",4066,"75,434"
13. Processed Food,2851,"11,597",860,"15,309"
14. Alcohol and tobacco products,4254,3489,489,8232
15. Travel related consumer goods,"14,918","26,646",5455,"47,019"
16. Footwear,2809,7908,675,"11,392"
"17. Soaps, cosmetics and glycerine",638,935,119,1691
18. Gems and jewellery,"13,985",8807,948,"23,740"
"19. Books, journals, magazines, stationery, etc.",1571,1452,227,3250
,"2,35,331","5,53,193","24,575","8,13,099"
A.3 Other imputed connected products,0,"1,41,280",0,"1,41,280"
"20. Vacation homes (assumed to be 1% of urban owner- occupied dwelling services, total Rs. 1,69,363 crore)",,4248,,4248
21. Social transfers in kind (50% of GFCE of tourism and cultural services),,4177,,4177
22. FISIM (calculated from the share of FISIM in PFCE),,"42,924",,"42,924"
23. Producers’ guest houses (0.5% of private corporate sector output),,"64,716",,"64,716"
24. Imputed expenditures of households on food for tourists staying with them,,"25,215",,"25,215"
Total (Rs. Crore),"2,35,331","6,94,473","24,575","9,54,379"
