Country of Normal Residence,NRI,PIO,OCI,Foreigner Others,All Visitors
Afghanistan,0.15,0.02,0,0.09,0.09
Australia,1.03,1.51,11.18,4.18,4.01
Bangladesh,3.61,3.14,1.04,16.4,14.53
Canada,1.75,0.47,1.17,1.29,1.32
China,0.6,12.68,2.2,2.08,2.03
France,0.79,0.1,3.94,5.72,5.06
Germany,0.43,1.42,2.39,4.69,4.16
Italy,0.65,1.42,0.03,1.63,1.47
Japan,0.82,0.34,1.23,4.85,4.25
Malaysia,2.82,7.37,7.04,3.9,3.9
Nepal,0.4,0.08,0.45,0.98,0.89
Oman,6.02,1.8,2.15,1.02,1.58
Pakistan,0,0,0,0.05,0.04
Republic of Korea,0.01,0,0.04,0.2,0.17
Russia,0.08,1.42,0.27,2.82,2.43
Singapore,10.86,5.32,7.04,4.12,4.92
Sri Lanka,0.46,0.8,0.74,2.53,2.23
Thailand,1.4,0.81,3.46,1.96,1.93
UK,3.78,9.59,13.87,10.06,9.61
USA,6.49,3.9,13.89,9.82,9.49
Other Countries,57.87,47.78,27.88,21.61,25.89
Total (%),100,100,100,100,100
Total Number,880859,81941,246203,7081882,8290885
