Category,All Visitors,,,
Country of Normal Residence,Male,Female,Transgender,Total Number
Afghanistan,94.77,5.23,0,7830
Australia,67.95,32.03,0.02,"3,33,542"
Bangladesh,86.08,13.86,0.07,"11,98,127"
Canada,66.38,33.07,0.54,"1,10,011"
China,67.9,31.99,0.1,"1,68,578"
France,62.62,37.33,0.05,"4,21,547"
Germany,69.41,30.37,0.22,"3,43,333"
Italy,55.49,44.11,0.4,"1,22,419"
Japan,68.78,31.11,0.12,"3,54,217"
Malaysia,75.17,24.74,0.09,"3,24,651"
Nepal,62.97,37.03,0,"73,933"
Oman,65.45,32.98,1.57,"1,31,986"
Pakistan,86.78,13.22,0,3689
Republic of Korea,84.98,15.02,0,"14,479"
Russia,51.76,48.22,0.03,"2,02,080"
Singapore,77.05,22.47,0.48,"4,09,386"
Sri Lanka,76.6,23.22,0.18,"1,85,757"
Thailand,77.07,22.8,0.13,"1,60,372"
UK,66.86,33.03,0.12,"7,87,548"
USA,74,25.83,0.16,"7,89,584"
Total (20 countries),72.54,27.29,0.17,"61,43,069"
Others,75.65,24.16,0.19,"21,47,816"
Grand Total,73.34,26.48,0.18,"82,90,885"
