Item Group,MPCE (Rs),Percent to total MPCE,,
Rural,Urban,Rural,Urban,
Cereals and cereal substitutes,154,175,10.8,6.7
Pulses and their products,42,54,2.9,2
Milk and milk products,115,184,8,7
Edible oil,53,70,3.7,2.7
"Egg, fish and meat",68,96,4.8,3.7
Vegetables,95,122,6.6,4.6
Fruits,41,90,2.8,3.4
"Sugar, salt and spices",76,94,5.3,3.6
"Beverages, refreshments and processed food",113,236,7.9,49
Food total,756,1121,52.9,42.6
"Pan, tobacco and intoxicants",46,42,3.2,1.6
Fuel and light,114,176,8,6.7
Clothing and footwear,100,167,7,6.4
Education,50,182,3.5,6.9
Medical,95,146,6.7,5.5
Conveyance,60,171,4.2,6.5
Consumer services excluding conveyance,57,147,4,5.6
"Miscellaneous goods, entertainment",76,152,5.3,5.8
Rent,7,164,0.5,6.2
Taxes and cesses,4,22,0.2,0.8
Durable goods,65,139,4.5,5.3
Non-food total,673,1509,47.1,57.4
All items,1430,2630,100,100
