,Adjusted Inbound Tourism Consumption,Adjusted Domestic Tourism Consumption,Adjusted Outbound Tourism Consumption,Adjusted Total Tourism Consumption
A 1. Tourism characteristic products,73.9,63.6,47.8,65.7
1. Accommodation services/Hotels,17.6,0.8,3.5,5
2 Food and beverage serving services/ Restaurants,31.2,12.8,15.5,17.4
3 Railway passenger transport services,0.9,2.7,1,2.2
4 Road passenger transport services,7.9,26.5,8,21.4
5 Water passenger transport services,0.3,0.1,0.1,0.2
6 Air passenger transport services,6,8.3,8.1,7.8
7 Transport equipment rental services,0.1,0.1,0.1,0.1
8 Travel agencies and other reservation services/ Supporting and auxiliary transport activities,1.7,0.8,4,1.1
9 Cultural and religious services,0.4,0,0.1,0.1
10 Sports and other recreational services,2.8,0,1.4,0.8
11 Health and medical related services,4.9,11.4,6.1,9.7
A.2 Tourism connected products,26.1,16.1,52.2,19.5
12 Readymade garments,8.7,7.3,16.5,7.9
13 Processed Food,1.2,1.7,3.5,1.6
14 Alcohol & Tobacco products,1.8,0.5,2,0.9
15 Travel related consumer goods,6.3,3.8,22.2,4.9
16 Footwear,1.2,1.1,2.7,1.2
"17 Soaps, cosmetics and glycerine",0.3,0.1,0.5,0.2
18 Gems and jewellery,5.9,1.3,3.9,2.5
"19 Books, journals, magazines, stationery, etc.",0.7,0.2,0.9,0.3
A.3 Other imputed connected products,,20.3,,14.8
"Vacation homes (assumed to be 1% of urban owner occupied dwelling services, total Rs. 1,69,363 crore)",,0.6,,0.4
Social transfers in kind (50% of GFCE of tourism and cultural services),,0.6,,0.4
FISIM (calculated from the share of fisim in PFCE),,6.2,,4.5
Producers’ guest houses (.5% of private corporate sector output),,9.3,,6.8
Imputed expenditures of households on food for tourists staying with them,,3.6,,2.6
Total,100,100,100,100
