Sector_Code,Sector_Name,Category,Water_2015_m3_per_million_EUR,Water_2015_m3_per_million_INR,Water_2015_m3_per_INR_crore,Water_2022_m3_per_million_EUR,Water_2022_m3_per_million_INR,Water_2022_m3_per_INR_crore,Absolute_Change_EUR,Absolute_Change_INR_crore,Percent_Change
IN,Paddy rice,Agriculture & Livestock,104531.527460986,1493.307535156943,14933.07535156943,168774.96064862754,2045.757098771243,20457.570987712428,64243.43318764154,5524.495636142998,36.99502705323265
IN.1,Wheat,Agriculture & Livestock,106080.3581,1515.433687142857,15154.33687142857,109037.18933384828,1321.6629010163429,13216.62901016343,2956.831233848279,-1937.7078612651403,-12.786489767516821
IN.2,Cereal grains nec,Agriculture & Livestock,8488.5620492,121.26517213142857,1212.6517213142856,12752.898259496,154.58058496358788,1545.8058496358788,4264.336210296,333.15412832159313,27.473168737090468
IN.3,"Vegetables, fruit, nuts",Agriculture & Livestock,37921.23,541.7318571428572,5417.318571428572,49719.9309,602.665829090909,6026.65829090909,11798.700899999996,609.3397194805184,11.247992876296806
IN.4,Oil seeds,Agriculture & Livestock,30037.8,429.1114285714286,4291.114285714286,35894.9,435.089696969697,4350.89696969697,5857.100000000002,59.78268398268392,1.3931735691583191
IN.5,"Sugar cane, sugar beet",Agriculture & Livestock,66390.07807382,948.4296867688571,9484.29686768857,50479.94131801,611.8780765819395,6118.780765819394,-15910.136755809996,-3365.516101869176,-35.48513710577281
IN.6,Plant-based fibers,Agriculture & Livestock,332.51461,4.750208714285715,47.50208714285715,324.82339,3.9372532121212123,39.372532121212124,-7.691219999999987,-8.129555021645025,-17.113740412695336
IN.7,Crops nec,Agriculture & Livestock,52389.248380000005,748.4178340000001,7484.17834,41527.23522238801,503.3604269380365,5033.604269380365,-10862.013157611997,-2450.5740706196357,-32.74339054814306
IN.8,Cattle,Agriculture & Livestock,2332.517,33.32167142857143,333.21671428571426,3118.31,37.79769696969697,377.9769696969697,785.7930000000001,44.76025541125546,13.432735863759095
IN.9,Pigs,Agriculture & Livestock,58.8055,0.8400785714285715,8.400785714285714,40.1968,0.48723393939393944,4.872339393939394,-18.6087,-3.52844632034632,-41.996385534408915
IN.10,Poultry,Agriculture & Livestock,65.263746,0.9323392285714286,9.323392285714286,54.581158,0.661589793939394,6.61589793939394,-10.682587999999996,-2.7074943463203462,-29.036684250923724
IN.11,Meat animals nec,Agriculture & Livestock,3047.00938,43.52870542857143,435.28705428571425,401.41266499999995,4.86560806060606,48.6560806060606,-2645.596715,-386.63097367965366,-88.82186631886685
IN.12,Animal products nec,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.13,Raw milk,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.14,"Wool, silk-worm cocoons",Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.15,"Forestry, logging",Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.16,"Fishing, aquaculture",Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.17,Anthracite,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.18,Coking Coal,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.19,Other Bituminous Coal,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.20,Sub-Bituminous Coal,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.21,Patent Fuel,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.22,Lignite/Brown Coal,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.23,BKB/Peat Briquettes,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.24,Peat,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.25,Crude petroleum,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.26,Natural gas,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.27,Natural gas liquids,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.28,Other hydrocarbons,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.29,Uranium and thorium ores,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.30,Iron ores,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
