Category,Sector_Group,Num_Subsectors,Water_2015_m3_per_INR_crore,Water_2022_m3_per_INR_crore,Absolute_Change_INR_crore,Percent_Change,Subsectors
Agriculture,Cereals (All),3,31300.063944312285,35220.00584751173,3919.9419031994476,12.523750063054623,"IN, IN.1, IN.2"
Agriculture,Sugar Crops,1,9484.29686768857,6118.780765819394,-3365.516101869176,-35.48513710577281,IN.5
Agriculture,Vegetables & Fruits,1,5417.318571428572,6026.65829090909,609.3397194805184,11.247992876296806,IN.3
Agriculture,Other Crops,1,7484.17834,5033.604269380365,-2450.5740706196357,-32.74339054814306,IN.7
Agriculture,Oil Seeds,1,4291.114285714286,4350.89696969697,59.78268398268392,1.3931735691583191,IN.4
Manufacturing,Other Petroleum Products,12,400.99256773060887,517.0986880750728,116.10612034446393,28.95460917279977,"IN.70, IN.71, IN.72, IN.73, IN.74, IN.75, IN.76, IN.77, IN.78, IN.79, IN.80, IN.81"
Agriculture,Cattle,1,333.21671428571426,377.9769696969697,44.76025541125546,13.432735863759095,IN.8
Manufacturing,Petroleum Refining,5,212.02490078738145,369.4184322090678,157.39353142168636,74.23316247552219,"IN.61, IN.62, IN.63, IN.64, IN.65"
Manufacturing,Pulp & Paper,4,172.55400128865938,282.76816037851523,110.21415908985585,63.87190070804358,"IN.50, IN.51, IN.52, IN.53"
Manufacturing,Coke Production,6,158.79902779268429,233.16902584152842,74.36999804884414,46.832484277606824,"IN.54, IN.55, IN.56, IN.57, IN.58, IN.59"
Electricity,Electricity - Renewable,8,146.44750685714283,197.2943302787879,50.84682342164507,34.719932973604834,"IN.95, IN.96, IN.98, IN.99, IN.100, IN.101, IN.102, IN.103"
Manufacturing,Recovered Gases,1,119.24037325847604,188.68508091772625,69.44470765925021,58.23876877760955,IN.60
Manufacturing,Fish Products,1,42.02262969763724,144.86021166442916,102.83758196679192,244.713706804279,IN.44
Manufacturing,Biofuels,7,204.50454938301084,137.9636021746047,-66.54094720840615,-32.53747754481913,"IN.82, IN.83, IN.84, IN.85, IN.86, IN.87, IN.88"
Manufacturing,Other Food Products,1,16.2146073683564,108.32497293170654,92.11036556335014,568.0352482084448,IN.42
Manufacturing,Textiles & Apparel,3,59.568770981431015,89.05483836502097,29.486067383589955,49.498372912632654,"IN.46, IN.47, IN.48"
Manufacturing,Dairy Products,1,2.5732378003145575,72.80979546750102,70.23655766718646,2728.4409256442414,IN.39
Agriculture,Other Meat Animals,1,435.28705428571425,48.6560806060606,-386.63097367965366,-88.82186631886685,IN.11
Manufacturing,Wood Products,1,4.808443161706428,40.63128782670304,35.82284466499661,744.8439135371002,IN.49
Agriculture,Fibers,1,47.50208714285715,39.372532121212124,-8.129555021645025,-17.113740412695336,IN.6
Manufacturing,Processed Rice & Sugar,2,3.0517121781551566,39.15306712504366,36.101354946888506,1182.59936869337,"IN.40, IN.41"
Electricity,Electricity - Fossil Fuels,3,29.939178713122427,26.83948048837271,-3.099698224749716,-10.352971685473456,"IN.92, IN.93, IN.97"
Manufacturing,Kerosene & Diesel,2,14.480018936769998,22.82057733152943,8.340558394759434,57.596488418236966,"IN.68, IN.69"
Manufacturing,Meat Products (All),4,2.4372109590216087,22.506900505414556,20.069689546392947,823.1317914527953,"IN.34, IN.35, IN.36, IN.37"
Manufacturing,Jet Fuels,2,12.686983051348214,22.144793548491347,9.457810497143132,74.54148117054865,"IN.66, IN.67"
Manufacturing,Vegetable Oils,1,7.321330647268231,9.328199884105926,2.0068692368376952,27.407520003025336,IN.38
Agriculture,Poultry,1,9.323392285714286,6.61589793939394,-2.7074943463203462,-29.036684250923724,IN.10
Agriculture,Pigs,1,8.400785714285714,4.872339393939394,-3.52844632034632,-41.996385534408915,IN.9
Manufacturing,Beverages,1,1.977005489182857,3.457042010199273,1.480036521016416,74.82469230294406,IN.43
Manufacturing,Fertilizers,2,0.5458031856571429,0.7137366014290545,0.16793341577191156,30.711857607429767,"IN.89, IN.90"
Manufacturing,Tobacco,1,0.11327205057057144,0.41380162204969706,0.3005295714791256,262.99481804916627,IN.45
Manufacturing,Other Chemicals,1,0.061614571428571435,0.30987910573021815,0.24826453430164672,396.4964203018756,IN.91
