Sector_Code,Sector_Name,Category,Water_2015_m3_per_million_EUR,Water_2015_m3_per_million_INR,Water_2015_m3_per_INR_crore,Water_2022_m3_per_million_EUR,Water_2022_m3_per_million_INR,Water_2022_m3_per_INR_crore,Absolute_Change_EUR,Absolute_Change_INR_crore,Percent_Change
IN.12,Animal products nec,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.13,Raw milk,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.14,"Wool, silk-worm cocoons",Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.15,"Forestry, logging",Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.16,"Fishing, aquaculture",Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.17,Anthracite,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.18,Coking Coal,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.19,Other Bituminous Coal,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.20,Sub-Bituminous Coal,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.21,Patent Fuel,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.22,Lignite/Brown Coal,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.23,BKB/Peat Briquettes,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.24,Peat,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.25,Crude petroleum,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.26,Natural gas,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.27,Natural gas liquids,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.28,Other hydrocarbons,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.29,Uranium and thorium ores,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.30,Iron ores,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.31,Copper ores,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.32,Nickel ores,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.33,Aluminium ores,Mining & Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.50,Pulp,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.52,Paper products,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.57,Gas Works Gas,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.59,Blast Furnace Gas,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.65,Aviation Gasoline,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.69,Gas/Diesel Oil,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.74,Additives/Blending,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.76,White Spirit & SBP,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.78,Bitumen,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.80,Petroleum Coke,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.82,Industrial Biofuels,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
