Sector_Code,Sector_Name,Category,Water_2015_m3_per_million_EUR,Water_2015_m3_per_million_INR,Water_2015_m3_per_INR_crore,Water_2022_m3_per_million_EUR,Water_2022_m3_per_million_INR,Water_2022_m3_per_INR_crore,Absolute_Change_EUR,Absolute_Change_INR_crore,Percent_Change
IN.11,Meat animals nec,Agriculture & Livestock,3047.00938,43.52870542857143,435.28705428571425,401.41266499999995,4.86560806060606,48.6560806060606,-2645.596715,-386.63097367965366,-88.82186631886685
IN.5,"Sugar cane, sugar beet",Agriculture & Livestock,66390.07807382,948.4296867688571,9484.29686768857,50479.94131801,611.8780765819395,6118.780765819394,-15910.136755809996,-3365.516101869176,-35.48513710577281
IN.7,Crops nec,Agriculture & Livestock,52389.248380000005,748.4178340000001,7484.17834,41527.23522238801,503.3604269380365,5033.604269380365,-10862.013157611997,-2450.5740706196357,-32.74339054814306
IN.1,Wheat,Agriculture & Livestock,106080.3581,1515.433687142857,15154.33687142857,109037.18933384828,1321.6629010163429,13216.62901016343,2956.831233848279,-1937.7078612651403,-12.786489767516821
IN.4,Oil seeds,Agriculture & Livestock,30037.8,429.1114285714286,4291.114285714286,35894.9,435.089696969697,4350.89696969697,5857.100000000002,59.78268398268392,1.3931735691583191
IN.84,Primary solid biofuels,Manufacturing,866.09977192704,12.372853884672,123.72853884672,1082.119433123755,13.11659918937885,131.1659918937885,216.019661196715,7.437453047068487,6.011056952440626
IN.72,Liquefied Refinery Gases,Manufacturing,1763.7021662095399,25.195745231564857,251.95745231564857,2306.24669284196,27.954505367781334,279.5450536778133,542.54452663242,27.587601362164747,10.94926608280779
IN.3,"Vegetables, fruit, nuts",Agriculture & Livestock,37921.23,541.7318571428572,5417.318571428572,49719.9309,602.665829090909,6026.65829090909,11798.700899999996,609.3397194805184,11.247992876296806
IN.8,Cattle,Agriculture & Livestock,2332.517,33.32167142857143,333.21671428571426,3118.31,37.79769696969697,377.9769696969697,785.7930000000001,44.76025541125546,13.432735863759095
IN.2,Cereal grains nec,Agriculture & Livestock,8488.5620492,121.26517213142857,1212.6517213142856,12752.898259496,154.58058496358788,1545.8058496358788,4264.336210296,333.15412832159313,27.473168737090468
