Sector_Code,Sector_Name,Category,Water_2015_m3_per_million_EUR,Water_2015_m3_per_million_INR,Water_2015_m3_per_INR_crore,Water_2022_m3_per_million_EUR,Water_2022_m3_per_million_INR,Water_2022_m3_per_INR_crore,Absolute_Change_EUR,Absolute_Change_INR_crore,Percent_Change
IN.51,Re-processing of paper,Manufacturing,806.4170500706344,11.520243572437636,115.20243572437636,1701.6763212774026,20.626379651847305,206.26379651847304,895.2592712067682,91.06136079409669,79.0439627269108
IN.61,Petroleum Refinery,Manufacturing,1249.6746434946567,17.852494907066525,178.52494907066526,2545.1868627183603,30.85074985113164,308.5074985113164,1295.5122192237036,129.98254944065113,72.80877100348063
IN.60,Other recovered gases,Manufacturing,834.6826128093322,11.924037325847603,119.24037325847604,1556.6519175712417,18.868508091772625,188.68508091772625,721.9693047619095,69.44470765925021,58.23876877760955
IN.71,Refinery Gas,Manufacturing,853.17686777795,12.188240968256428,121.88240968256429,1442.1069460190802,17.48008419417067,174.8008419417067,588.9300782411302,52.918432259142406,43.41725620981911
IN,Paddy rice,Agriculture & Livestock,104531.527460986,1493.307535156943,14933.07535156943,168774.96064862754,2045.757098771243,20457.570987712428,64243.43318764154,5524.495636142998,36.99502705323265
IN.95,Electricity - hydro,Electricity & Utilities,994.796,14.211371428571429,142.11371428571428,1605.657,19.46250909090909,194.62509090909091,610.8609999999999,52.511376623376634,36.949992748678525
IN.2,Cereal grains nec,Agriculture & Livestock,8488.5620492,121.26517213142857,1212.6517213142856,12752.898259496,154.58058496358788,1545.8058496358788,4264.336210296,333.15412832159313,27.473168737090468
IN.8,Cattle,Agriculture & Livestock,2332.517,33.32167142857143,333.21671428571426,3118.31,37.79769696969697,377.9769696969697,785.7930000000001,44.76025541125546,13.432735863759095
IN.3,"Vegetables, fruit, nuts",Agriculture & Livestock,37921.23,541.7318571428572,5417.318571428572,49719.9309,602.665829090909,6026.65829090909,11798.700899999996,609.3397194805184,11.247992876296806
IN.72,Liquefied Refinery Gases,Manufacturing,1763.7021662095399,25.195745231564857,251.95745231564857,2306.24669284196,27.954505367781334,279.5450536778133,542.54452663242,27.587601362164747,10.94926608280779
