Category_ID,Category_Name,Category_Type,N_EXIOBASE_Sectors,EXIOBASE_Sectors,SUT_Product_IDs,Water_2019_m3_per_crore
AGR_001,Paddy,Agriculture,1,IN,1,180219.7883916962
AGR_002,Wheat,Agriculture,1,IN.1,2,137923.10382278482
AGR_003,Sugarcane,Agriculture,1,IN.5,12,85956.16048748103
AGR_004,Milk (Raw),Agriculture,1,IN.13,21,0.0
AGR_005,Wool/Silk,Agriculture,1,IN.14,22,0.0
AGR_006,Egg & Poultry (Live),Agriculture,1,IN.10,23,79.15357974683545
AGR_M01,Cereals & Pulses,Agriculture,1,IN.2,"3,4,5,6",14673.293831822786
AGR_M02,Oil Seeds,Agriculture,1,IN.4,"7,8,9",42146.58227848102
AGR_M03,Cotton & Jute,Agriculture,1,IN.6,"10,11",247.14177215189875
AGR_M04,Fruits & Vegetables,Agriculture,1,IN.3,"13,18,19",48268.427848101266
AGR_M05,Other Crops,Agriculture,1,IN.7,"14,15,16,17,20",65188.76621518987
AGR_M06,Other Livestock,Agriculture,4,"IN.8,IN.9,IN.11,IN.12",24,6890.521037974683
AGR_M07,Forestry,Agriculture,1,IN.15,"25,26,27",0.0
AGR_M08,Fishing,Agriculture,1,IN.16,"28,29",0.0
MIN_001,Crude Petroleum,Mining,1,IN.25,32,0.0
MIN_002,Natural Gas,Mining,1,IN.26,31,0.0
MIN_003,Iron Ore,Mining,1,IN.30,33,0.0
MIN_004,Copper Ore,Mining,1,IN.31,36,0.0
MIN_M01,Coal & Lignite,Mining,8,"IN.17,IN.18,IN.19,IN.20,IN.21,IN.22,IN.23,IN.24",30,0.0
MIN_M02,Other Metallic Minerals,Mining,2,"IN.32,IN.33","34,35,37",0.0
MIN_M03,Non-Metallic Minerals,Mining,3,"IN.27,IN.28,IN.29","38,39,40",0.0
FOOD_001,Processed Poultry,Food Mfg,1,IN.36,41,3.5053187708732034
FOOD_002,Processed Fish,Food Mfg,1,IN.44,43,503.95675065066644
FOOD_003,Dairy Products,Food Mfg,1,IN.39,45,29.065562473596586
FOOD_004,Sugar,Food Mfg,1,IN.41,48,18.03905872839241
FOOD_005,Tobacco Products,Food Mfg,1,IN.45,55,0.9133043481139241
FOOD_M01,Processed Meat,Food Mfg,3,"IN.34,IN.35,IN.37",42,12.956616625350229
FOOD_M02,Processed Fruit/Veg,Food Mfg,1,IN.42,44,181.8700749460727
FOOD_M03,Edible Oils,Food Mfg,1,IN.38,46,32.107964070478104
FOOD_M04,Grain Mill & Bakery,Food Mfg,1,IN.40,"47,49",8.762908536754303
FOOD_M05,Misc Food Products,Food Mfg,0,,50,0.0
FOOD_M06,Beverages,Food Mfg,1,IN.43,"51,52",13.286118430670887
FOOD_M07,Processed Tea/Coffee,Food Mfg,0,,"53,54",0.0
