Category_ID,Category_Name,Category_Type,Category_Subgroup,N_EXIOBASE_Sectors,EXIOBASE_Sectors,SUT_Product_IDs,Water_2022_Blue_m3_per_crore,Water_2022_Green_m3_per_crore,Green_share_pct
AGR_001,Paddy,Agriculture,Agriculture,1,IN,1,190706.1702244379,594859.7708397808,75.72372219115238
AGR_002,Wheat,Agriculture,Agriculture,1,IN.1,2,123205.86365406585,94274.60317867457,43.348538170639095
AGR_003,Sugarcane,Agriculture,Agriculture,1,IN.5,12,57039.48171526554,55042.87398293785,49.109312201777854
AGR_004,Milk (Raw),Agriculture,Agriculture,1,IN.13,21,0.0,0.0,
AGR_005,Wool/Silk,Agriculture,Agriculture,1,IN.14,22,0.0,0.0,
AGR_006,Egg & Poultry (Live),Agriculture,Agriculture,1,IN.10,23,61.673624858757066,0.0,0.0
AGR_M01,Cereals & Pulses,Agriculture,Agriculture,1,IN.2,"3,4,5,6",14410.054530503954,311018.0131254237,95.5719693650581
AGR_M02,Oil Seeds,Agriculture,Agriculture,1,IN.4,"7,8,9",40559.209039548026,169887.00564971752,80.72704272707601
AGR_M03,Cotton & Jute,Agriculture,Agriculture,1,IN.6,"10,11",367.0320790960452,9066.90316384181,96.1094488180762
AGR_M04,Fruits & Vegetables,Agriculture,Agriculture,1,IN.3,"13,18,19",56180.71288135593,226787.73446327684,80.1459443946652
AGR_M05,Other Crops,Agriculture,Agriculture,1,IN.7,"14,15,16,17,20",46923.42962981696,482880.170180791,91.14324069398718
AGR_M06,Other Livestock,Agriculture,Agriculture,4,"IN.8,IN.9,IN.11,IN.12",24,4022.5078700564973,0.0,0.0
AGR_M07,Forestry,Agriculture,Agriculture,1,IN.15,"25,26,27",0.0,0.0,
AGR_M08,Fishing,Agriculture,Agriculture,1,IN.16,"28,29",0.0,0.0,
MIN_001,Crude Petroleum,Mining,Mining,1,IN.25,32,0.0,0.0,
MIN_002,Natural Gas,Mining,Mining,1,IN.26,31,0.0,0.0,
MIN_003,Iron Ore,Mining,Mining,1,IN.30,33,0.0,0.0,
MIN_004,Copper Ore,Mining,Mining,1,IN.31,36,0.0,0.0,
MIN_M01,Coal & Lignite,Mining,Mining,8,"IN.17,IN.18,IN.19,IN.20,IN.21,IN.22,IN.23,IN.24",30,0.0,0.0,
MIN_M02,Other Metallic Minerals,Mining,Mining,2,"IN.32,IN.33","34,35,37",0.0,0.0,
MIN_M03,Non-Metallic Minerals,Mining,Mining,3,"IN.27,IN.28,IN.29","38,39,40",0.0,0.0,
FOOD_001,Processed Poultry,Food Mfg,Food Mfg,1,IN.36,41,177.48000703100058,910.5868926553673,83.68850232626701
FOOD_002,Processed Fish,Food Mfg,Food Mfg,1,IN.44,43,1350.391803651458,4095.588700564972,75.20388105308224
FOOD_003,Dairy Products,Food Mfg,Food Mfg,1,IN.39,45,678.7353814767046,4274.351412429379,86.29671940512387
FOOD_004,Sugar,Food Mfg,Food Mfg,1,IN.41,48,19.787940775851077,4.896402259887005,19.836064718424858
FOOD_005,Tobacco Products,Food Mfg,Food Mfg,1,IN.45,55,3.8574727479209048,0.0,0.0
FOOD_M01,Processed Meat,Food Mfg,Food Mfg,3,"IN.34,IN.35,IN.37",42,32.33008242625373,133.81095141242938,80.54057948282356
FOOD_M02,Processed Fruit/Veg,Food Mfg,Food Mfg,1,IN.42,44,1009.8090697023491,4541.001129943503,81.8078977053336
FOOD_M03,Edible Oils,Food Mfg,Food Mfg,1,IN.38,46,86.957795529801,40.58845197740113,31.822537135096212
FOOD_M04,Grain Mill & Bakery,Food Mfg,Food Mfg,1,IN.40,"47,49",345.19827818642034,2181.051186440678,86.33554274746278
FOOD_M05,Misc Food Products,Food Mfg,Food Mfg,0,,50,0.0,0.0,
FOOD_M06,Beverages,Food Mfg,Food Mfg,1,IN.43,"51,52",32.22666280694237,400.4135593220339,92.55116349368572
