Category_ID,Category_Name,Category_Type,N_EXIOBASE_Sectors,EXIOBASE_Sectors,SUT_Product_IDs,Energy_2015_Final_MJ_per_crore,Energy_2015_Emission_MJ_per_crore,Emission_Final_ratio
AGR_001,Paddy,Agriculture,1,IN,1,0.0,0.0,0.0
AGR_002,Wheat,Agriculture,1,IN.1,2,0.0,0.0,0.0
AGR_003,Sugarcane,Agriculture,1,IN.5,12,0.0,0.0,0.0
AGR_004,Milk (Raw),Agriculture,1,IN.13,21,0.0,0.0,0.0
AGR_005,Wool/Silk,Agriculture,1,IN.14,22,0.0,0.0,0.0
AGR_006,Egg & Poultry (Live),Agriculture,1,IN.10,23,0.0,0.0,0.0
AGR_M01,Cereals & Pulses,Agriculture,1,IN.2,"3,4,5,6",0.0,0.0,0.0
AGR_M02,Oil Seeds,Agriculture,1,IN.4,"7,8,9",0.0,0.0,0.0
AGR_M03,Cotton & Jute,Agriculture,1,IN.6,"10,11",0.0,0.0,0.0
AGR_M04,Fruits & Vegetables,Agriculture,1,IN.3,"13,18,19",0.0,0.0,0.0
AGR_M05,Other Crops,Agriculture,1,IN.7,"14,15,16,17,20",0.0,0.0,0.0
AGR_M06,Other Livestock,Agriculture,4,"IN.8,IN.9,IN.11,IN.12",24,0.0,0.0,0.0
AGR_M07,Forestry,Agriculture,1,IN.15,"25,26,27",0.0,0.0,0.0
AGR_M08,Fishing,Agriculture,1,IN.16,"28,29",0.0,0.0,0.0
MIN_001,Crude Petroleum,Mining,1,IN.25,32,0.0,0.0,0.0
MIN_002,Natural Gas,Mining,1,IN.26,31,0.0,0.0,0.0
MIN_003,Iron Ore,Mining,1,IN.30,33,0.0,0.0,0.0
MIN_004,Copper Ore,Mining,1,IN.31,36,0.0,0.0,0.0
MIN_M01,Coal & Lignite,Mining,8,"IN.17,IN.18,IN.19,IN.20,IN.21,IN.22,IN.23,IN.24",30,0.0,0.0,0.0
MIN_M02,Other Metallic Minerals,Mining,2,"IN.32,IN.33","34,35,37",0.0,0.0,0.0
MIN_M03,Non-Metallic Minerals,Mining,3,"IN.27,IN.28,IN.29","38,39,40",0.0,0.0,0.0
FOOD_001,Processed Poultry,Food Mfg,1,IN.36,41,0.0,0.0,0.0
FOOD_002,Processed Fish,Food Mfg,1,IN.44,43,0.0,0.0,0.0
FOOD_003,Dairy Products,Food Mfg,1,IN.39,45,0.0,0.0,0.0
FOOD_004,Sugar,Food Mfg,1,IN.41,48,0.0,0.0,0.0
FOOD_005,Tobacco Products,Food Mfg,1,IN.45,55,0.0,0.0,0.0
FOOD_M01,Processed Meat,Food Mfg,3,"IN.34,IN.35,IN.37",42,0.0,0.0,0.0
FOOD_M02,Processed Fruit/Veg,Food Mfg,1,IN.42,44,0.0,0.0,0.0
FOOD_M03,Edible Oils,Food Mfg,1,IN.38,46,0.0,0.0,0.0
FOOD_M04,Grain Mill & Bakery,Food Mfg,1,IN.40,"47,49",0.0,0.0,0.0
FOOD_M05,Misc Food Products,Food Mfg,0,,50,0.0,0.0,0.0
FOOD_M06,Beverages,Food Mfg,1,IN.43,"51,52",0.0,0.0,0.0
FOOD_M07,Processed Tea/Coffee,Food Mfg,0,,"53,54",0.0,0.0,0.0
TEXT_001,Ready Made Garments,Textiles,1,IN.47,61,0.0,0.0,0.0
TEXT_002,Leather Footwear,Textiles,1,IN.48,63,0.0,0.0,0.0
TEXT_M01,Textiles,Textiles,1,IN.46,"56,57,58,59,60,62",0.0,0.0,0.0
TEXT_M02,Leather (excl Ftwr),Textiles,0,,64,0.0,0.0,0.0
WOOD_M01,Wood & Furniture,Manufacturing,1,IN.49,"65,68",0.0,0.0,0.0
WOOD_M02,Paper Products,Manufacturing,5,"IN.50,IN.51,IN.52,IN.138,IN.162",66,0.0,0.0,0.0
WOOD_M03,Printing/Publishing,Manufacturing,1,IN.53,67,0.0,0.0,0.0
CHEM_M01,Rubber & Plastics,Manufacturing,10,"IN.71,IN.72,IN.75,IN.76,IN.77,IN.78,IN.79,IN.80,IN.81,IN.140","69,70",0.0,0.0,0.0
CHEM_M02,Petroleum Products,Manufacturing,19,"IN.54,IN.55,IN.56,IN.57,IN.58,IN.59,IN.60,IN.61,IN.62,IN.63,IN.64,IN.65,IN.66,IN.67,IN.68,IN.69,IN.70,IN.73,IN.74","71,72",0.0,0.0,0.0
CHEM_M03,Fertilizers,Manufacturing,2,"IN.89,IN.90",75,0.0,0.0,0.0
CHEM_M04,Other Chemicals,Manufacturing,1,IN.91,"73,74,76,77,78,79,80,81",0.0,0.0,0.0
METAL_M01,Cement & Non-Metallic,Manufacturing,2,"IN.139,IN.147","82,83",0.0,0.0,0.0
METAL_M02,Iron & Steel,Manufacturing,1,IN.141,"84,85,86",0.0,0.0,0.0
METAL_M03,Non-Ferrous Metals,Manufacturing,7,"IN.142,IN.143,IN.144,IN.145,IN.146,IN.160,IN.161","87,88,89",0.0,0.0,0.0
MACH_M01,Machinery,Manufacturing,0,,"90,91,92,93,94",0.0,0.0,0.0
MACH_M02,Electrical Machinery,Manufacturing,0,,"95,96,97,98,100",0.0,0.0,0.0
MACH_M03,Electronics,Manufacturing,0,,"99,101,102,103",0.0,0.0,0.0
MACH_M04,Transport Equipment,Manufacturing,1,IN.110,"104,105,106,107,108,109,110",0.0,0.0,0.0
MISC_M01,Gems & Jewellery,Manufacturing,0,,111,0.0,0.0,0.0
MISC_M02,Misc Manufacturing,Manufacturing,0,,112,0.0,0.0,0.0
UTIL_M01,"Electricity, Heat & Energy",Utilities,23,"IN.82,IN.83,IN.84,IN.85,IN.86,IN.87,IN.88,IN.92,IN.93,IN.94,IN.95,IN.96,IN.97,IN.98,IN.99,IN.100,IN.101,IN.102,IN.103,IN.104,IN.105,IN.106,IN.107",114,0.0,0.0,0.0
UTIL_M02,Water Supply,Utilities,1,IN.108,115,0.0,0.0,0.0
CONS_M01,Construction,Manufacturing,1,IN.109,116,0.0,0.0,0.0
SERV_001,Hotels & Restaurants,Services,1,IN.113,118,0.0,0.0,0.0
SERV_002,Railway Transport,Services,1,IN.114,119,0.0,0.0,0.0
SERV_003,Road Transport,Services,1,IN.115,120,0.0,0.0,0.0
SERV_004,Air Transport,Services,1,IN.119,122,0.0,0.0,0.0
SERV_005,Financial Services,Services,3,"IN.122,IN.123,IN.124",126,0.0,0.0,0.0
SERV_006,Real Estate,Services,1,IN.125,127,0.0,0.0,0.0
SERV_007,Computer & R&D,Services,2,"IN.127,IN.128","128,129",0.0,0.0,0.0
SERV_008,Trade (Retail & Wholesale),Services,2,"IN.111,IN.112",117,0.0,0.0,0.0
SERV_009,Business Services,Services,1,IN.129,130,0.0,0.0,0.0
SERV_010,Public Admin & Education,Services,2,"IN.130,IN.131",131,0.0,0.0,0.0
SERV_011,Defence,Services,0,,,0.0,0.0,0.0
SERV_012,Health & Social Work,Services,1,IN.132,132,0.0,0.0,0.0
SERV_013,Sewage/Waste Mgmt,Services,13,"IN.133,IN.148,IN.149,IN.150,IN.151,IN.152,IN.153,IN.154,IN.155,IN.156,IN.157,IN.158,IN.159",133,0.0,0.0,0.0
SERV_016,Waste Management,Services,0,,,0.0,0.0,0.0
SERV_017,Cultural & Rec Services,Services,1,IN.135,135,0.0,0.0,0.0
SERV_018,Other Services,Services,3,"IN.134,IN.136,IN.137","136,137",0.0,0.0,0.0
SERV_019,Post & Telecom,Services,1,IN.121,134,0.0,0.0,0.0
SERV_M02,Pipeline/Water Transport,Services,3,"IN.116,IN.117,IN.118",123,0.0,0.0,0.0
SERV_M03,Support & Travel Agencies,Services,1,IN.120,124,0.0,0.0,0.0
SERV_M04,Machinery Rental,Services,1,IN.126,125,0.0,0.0,0.0
