EXIOBASE_Code,EXIOBASE_Name,SUT_Product_ID,SUT_Product_Name,Water_2022
IN,Paddy rice,1,Paddy,20457.570987712428
IN.1,Wheat,2,Wheat,13216.62901016343
IN.2,Cereal grains nec,3,Coarse cereals,1545.8058496358788
IN.3,"Vegetables, fruit, nuts",18,Fruits,6026.65829090909
IN.4,Oil seeds,7,Groundnut,4350.89696969697
IN.5,"Sugar cane, sugar beet",12,Sugarcane,6118.780765819394
IN.6,Plant-based fibers,11,"jute, hemp and mesta",39.37253212121213
IN.7,Crops nec,20,Other food crops,5033.604269380365
IN.8,Cattle,21,Milk,377.9769696969697
IN.9,Pigs,24,Other livestock products,4.872339393939394
IN.10,Poultry,23,Egg and poultry,6.61589793939394
IN.11,Meat animals nec,24,Other livestock products,48.6560806060606
IN.12,Animal products nec,24,Other livestock products,0.0
IN.13,Raw milk,21,Milk,0.0
IN.14,"Wool, silk-worm cocoons",22,Wool,0.0
IN.15,"Forestry, logging",25,Industry Wood,0.0
IN.16,"Fishing, aquaculture",28,Inland Fish,0.0
IN.17,Anthracite,30,Coal and Lignite,0.0
IN.18,Coking Coal,30,Coal and Lignite,0.0
IN.19,Other Bituminous Coal,30,Coal and Lignite,0.0
IN.20,Sub-Bituminous Coal,30,Coal and Lignite,0.0
IN.21,Patent Fuel,30,Coal and Lignite,0.0
IN.22,Lignite/Brown Coal,30,Coal and Lignite,0.0
IN.23,BKB/Peat Briquettes,30,Coal and Lignite,0.0
IN.24,Peat,30,Coal and Lignite,0.0
IN.25,Crude petroleum,32,Crude petroleum,0.0
IN.26,Natural gas,31,Natural Gas,0.0
IN.27,Natural gas liquids,31,Natural Gas,0.0
IN.28,Other hydrocarbons,31,Natural Gas,0.0
IN.29,Uranium and thorium ores,33,Iron ore,0.0
IN.30,Iron ores,33,Iron ore,0.0
IN.31,Copper ores,36,Copper ore,0.0
IN.32,Nickel ores,37,Other Metallic minerals,0.0
IN.33,Aluminium ores,35,Bauxite,0.0
IN.34,Meat cattle products,42,Processed other meat & meat products,1.4799901967013576
IN.35,Meat pigs products,42,Processed other meat & meat products,0.3214170703031696
IN.36,Meat poultry products,41,Processed poultry meat & poultry meat products,19.03876439059825
IN.37,Meat products nec,42,Processed other meat & meat products,1.666728847811782
IN.38,Vegetable oils and fats,46,Edible Oils and Fats,9.328199884105926
IN.39,Dairy products,45,Dairy products,72.80979546750102
IN.40,Processed rice,47,"Grain Mill products, starch and starch products",37.03036075090691
IN.41,Sugar,48,Sugar,2.122706374136752
IN.42,Food products nec,50,Miscellaneous food products,108.32497293170654
IN.43,Beverages,51,Alcoholic beverages,3.457042010199273
IN.44,Fish products,43,Processed fish & fish products,144.86021166442916
IN.45,Tobacco products,55,Tobacco Products,0.413801622049697
IN.46,Textiles,56,Cotton Yarn and Cotton Textiles,55.19801343665176
IN.47,Wearing apparel; furs,61,Ready made garments,29.52000705727273
IN.48,Leather products,64,Leather and leather products except footwear,4.3368178710964855
IN.49,Wood products,65,Wood and wood products except furniture,40.63128782670304
IN.50,Pulp,66,"Paper, Paper products and newsprint",0.0
IN.51,Re-processing of paper,66,"Paper, Paper products and newsprint",206.26379651847304
IN.52,Paper products,66,"Paper, Paper products and newsprint",0.0
IN.53,Printed matter,67,"Publishing, printing and allied activities",76.5043638600422
IN.54,Coke Oven Coke,71,Petroleum products,63.43237533363812
IN.55,Gas Coke,71,Petroleum products,6.457740777231999
IN.56,Coal Tar,72,Coal tar products,6.385600251870436
IN.57,Gas Works Gas,71,Petroleum products,0.0
IN.58,Coke oven gas,71,Petroleum products,156.89330947878787
IN.59,Blast Furnace Gas,71,Petroleum products,0.0
IN.60,Other recovered gases,71,Petroleum products,188.68508091772625
IN.61,Petroleum Refinery,71,Petroleum products,308.5074985113164
IN.62,Ethane,71,Petroleum products,36.68460961731091
IN.63,LPG,71,Petroleum products,6.412302862379394
IN.64,Motor Gasoline,71,Petroleum products,17.814021218061093
IN.65,Aviation Gasoline,71,Petroleum products,0.0
IN.66,Gasoline Type Jet Fuel,71,Petroleum products,3.234033424511067
IN.67,Kerosene Type Jet Fuel,71,Petroleum products,18.91076012398028
IN.68,Kerosene,71,Petroleum products,22.82057733152943
IN.69,Gas/Diesel Oil,71,Petroleum products,0.0
IN.70,Heavy Fuel Oil,71,Petroleum products,1.6911020214218184
