Product_ID,Product_Name,Water_2022_m3_per_crore,Source_EXIOBASE
1,Paddy,20457.570987712428,IN
2,Wheat,13216.62901016343,IN.1
3,Coarse cereals,1545.8058496358788,IN.2
4,Gram,3000.0,Manual estimate
5,Arhar,3000.0,Manual estimate
6,Other pulses,3000.0,Manual estimate
7,Groundnut,4350.89696969697,IN.4
8,Rapeseed and mustard,4000.0,Manual estimate
9,Other oil seeds,4000.0,Manual estimate
10,kapas,8000.0,Manual estimate
11,"jute, hemp and mesta",39.37253212121213,IN.6
12,Sugarcane,6118.780765819394,IN.5
13,Coconut,6000.0,Manual estimate
14,Tobacco,2500.0,Manual estimate
15,Tea,3500.0,Manual estimate
16,Coffee,4500.0,Manual estimate
17,Rubber,3000.0,Manual estimate
18,Fruits,6026.65829090909,IN.3
19,Vegetables,5530.1312801447275,"Estimated (avg 5,530)"
20,Other food crops,5033.604269380365,IN.7
21,Milk,377.9769696969697,"IN.8, IN.13"
22,Wool,0.0,IN.14
23,Egg and poultry,6.61589793939394,IN.10
24,Other livestock products,53.52841999999999,"IN.9, IN.11, IN.12"
25,Industry Wood,0.0,IN.15
26,Firewood,100.0,Manual estimate
27,Other forestry products,100.0,Manual estimate
28,Inland Fish,0.0,IN.16
29,Marine Fish,200.0,Manual estimate
30,Coal and Lignite,0.0,"IN.17, IN.18, IN.19, IN.20, IN.21, IN.22, IN.23, IN.24"
31,Natural Gas,0.0,"IN.26, IN.27, IN.28"
32,Crude petroleum,0.0,IN.25
33,Iron ore,0.0,"IN.29, IN.30"
34,Manganese ore,0.0,No direct mapping
35,Bauxite,0.0,IN.33
36,Copper ore,0.0,IN.31
37,Other Metallic minerals,0.0,IN.32
38,Limestone,0.0,No direct mapping
39,Mica,0.0,No direct mapping
40,Other non metallic minerals,0.0,No direct mapping
41,Processed poultry meat & poultry meat products,19.03876439059825,IN.36
42,Processed other meat & meat products,3.4681361148163092,"IN.34, IN.35, IN.37"
43,Processed fish & fish products,144.86021166442916,IN.44
44,Processed fruits & Processed Vegetables,1106.0262560289455,Estimated (20% of Vegetables)
45,Dairy products,72.80979546750102,IN.39
46,Edible Oils and Fats,9.328199884105926,IN.38
47,"Grain Mill products, starch and starch products",37.03036075090691,IN.40
48,Sugar,2.122706374136752,IN.41
49,Bread & Bakery products,80.0,Manual estimate
50,Miscellaneous food products,108.32497293170654,IN.42
51,Alcoholic beverages,3.457042010199273,IN.43
52,Non alcoholic beverages,50.0,Manual estimate
53,Tea processed,100.0,Manual estimate
54,Coffee processed,150.0,Manual estimate
55,Tobacco Products,0.413801622049697,IN.45
56,Cotton Yarn and Cotton Textiles,55.19801343665176,IN.46
57,Synthetic yarn and synthetic textiles,0.0,No direct mapping
58,Wool yarn and woolen textiles,0.0,No direct mapping
59,Silk yarn and silk textiles,0.0,No direct mapping
60,Carpet weaving,0.0,No direct mapping
61,Ready made garments,29.52000705727273,IN.47
62,Misc. textile products,0.0,No direct mapping
63,Leather footwear,0.0,No direct mapping
64,Leather and leather products except footwear,4.3368178710964855,IN.48
65,Wood and wood products except furniture,40.63128782670304,IN.49
66,"Paper, Paper products and newsprint",206.26379651847304,"IN.50, IN.51, IN.52"
67,"Publishing, printing and allied activities",76.5043638600422,IN.53
68,Furniture & Fixtures,0.0,No direct mapping
69,Rubber products,0.0,No direct mapping
70,Plastic products,0.0,No direct mapping
71,Petroleum products,1205.3695461683371,"IN.54, IN.55, IN.57, IN.58, IN.59, IN.60, IN.61, IN.62, IN.63, IN.64, IN.65, IN.66, IN.67, IN.68, IN.69, IN.70, IN.71, IN.73, IN.74, IN.75, IN.76, IN.77, IN.78, IN.79, IN.80, IN.81, IN.82, IN.83, IN.84, IN.85, IN.86, IN.87, IN.88"
72,Coal tar products,285.93065392968373,"IN.56, IN.72"
73,Inorganic chemicals,0.0,No direct mapping
74,Organic chemicals,0.0,No direct mapping
75,Fertilizers,0.7137366014290545,"IN.89, IN.90"
76,Pesticides,0.0,No direct mapping
77,"Paints, varnishes and lacquers",0.0,No direct mapping
78,Drugs and medicine,0.0,No direct mapping
79,"Soaps, cosmetics and glycerin",0.0,No direct mapping
80,"Synthetic fibres, resin",0.0,No direct mapping
81,Other chemicals and chemical products,0.3098791057302181,IN.91
82,Cement,0.0,No direct mapping
83,Non metallic mineral products,0.0,No direct mapping
84,Iron and steel Ferro alloys,0.0,No direct mapping
