Sector_Code,Sector_Name,Broad_Category,Water_2015_m3_per_crore,Water_2019_m3_per_crore,Water_2022_m3_per_crore,Chg_2015_2019_pct,Chg_2015_2022_pct
IN,Paddy rice,Agriculture,147227.50346617747,180219.7883916962,190706.1702244379,22.40905004077451,29.531619931495186
IN.1,Wheat,Agriculture,149408.95507042253,137923.10382278482,123205.86365406585,-7.687525317491149,-17.537831921792165
IN.2,Cereal grains nec,Agriculture,11955.721196056336,14673.293831822786,14410.054530503954,22.73031121420644,20.528526001904375
IN.3,Vegetables/fruit,Agriculture,53410.18309859155,48268.427848101266,56180.71288135593,-9.626919347943362,5.187268835327099
IN.4,Oil seeds,Agriculture,42306.760563380274,42146.58227848102,40559.209039548026,-0.3786115570330339,-4.130667298939657
IN.5,Sugar cane,Agriculture,93507.15221664788,85956.16048748103,57039.48171526554,-8.075309267971146,-38.99987288340249
IN.6,Plant fibres,Agriculture,468.3304366197183,247.14177215189875,367.0320790960452,-47.2291884474345,-21.629676314616038
IN.7,Crops nec,Agriculture,73787.67377464789,65188.76621518987,46923.42962981696,-11.653582664388656,-36.40749568400271
IN.8,Cattle,Agriculture,3285.2352112676053,3450.101265822785,3523.5141242937852,5.018394238248965,7.253024447349698
IN.9,Pigs,Agriculture,82.82464788732393,109.36518987341773,45.42011299435029,32.04425574160002,-45.161115497719244
IN.10,Poultry,Agriculture,91.9207690140845,79.15357974683545,61.673624858757066,-13.88934122743556,-32.905669175475275
IN.11,Meat animals nec,Agriculture,4291.562507042253,3331.0545822784807,453.5736327683615,-22.38131037792468,-89.43103748287324
IN.12,Animal products,Agriculture,0.0,0.0,0.0,,
IN.13,Raw milk,Agriculture,0.0,0.0,0.0,,
IN.14,Wool/silk,Agriculture,0.0,0.0,0.0,,
IN.15,Forestry,Agriculture,0.0,0.0,0.0,,
IN.16,Fishing,Agriculture,0.0,0.0,0.0,,
IN.17,Anthracite,Mining,0.0,0.0,0.0,,
IN.18,Coking Coal,Mining,0.0,0.0,0.0,,
IN.19,Bituminous Coal,Mining,0.0,0.0,0.0,,
IN.20,Sub-Bituminous Coal,Mining,0.0,0.0,0.0,,
IN.21,Patent Fuel,Mining,0.0,0.0,0.0,,
IN.22,Lignite,Mining,0.0,0.0,0.0,,
IN.23,BKB/Peat,Mining,0.0,0.0,0.0,,
IN.24,Peat,Mining,0.0,0.0,0.0,,
IN.25,Crude petroleum,Mining,0.0,0.0,0.0,,
IN.26,Natural gas,Mining,0.0,0.0,0.0,,
IN.27,Gas liquids,Mining,0.0,0.0,0.0,,
IN.28,Other hydrocarbons,Mining,0.0,0.0,0.0,,
IN.29,Uranium/thorium,Mining,0.0,0.0,0.0,,
IN.30,Iron ores,Mining,0.0,0.0,0.0,,
IN.31,Copper ores,Mining,0.0,0.0,0.0,,
IN.32,Nickel ores,Mining,0.0,0.0,0.0,,
IN.33,Aluminium ores,Mining,0.0,0.0,0.0,,
IN.34,Meat cattle,Manufacturing,3.760953746620676,4.843373510582583,13.796518782809265,28.780459343178357,266.835640964897
IN.35,Meat pigs,Manufacturing,2.5997593149904223,7.0588067694320005,2.9962608248600557,171.51770276311154,15.25146991813333
IN.36,Meat poultry,Manufacturing,16.81666285859873,3.5053187708732034,177.48000703100058,-79.15568147885622,955.3818467036173
IN.37,Meat nec,Manufacturing,0.8514645208482817,1.0544363453356456,15.537302818584408,23.837966176811538,1724.7739557139955
IN.38,Vegetable oils,Manufacturing,72.18213314208114,32.107964070478104,86.957795529801,-55.51812800090328,20.46997192315707
IN.39,Dairy products,Manufacturing,25.369950143946337,29.065562473596586,678.7353814767046,14.566888419889462,2575.351656686883
IN.40,Processed rice,Manufacturing,8.80282049575507,8.762908536754303,345.19827818642034,-0.4533996691175667,3821.4508389996504
IN.41,Sugar,Manufacturing,21.28448266915493,18.03905872839241,19.787940775851077,-15.247840369010838,-7.0311405570247345
IN.42,Food products nec,Manufacturing,159.86232616689406,181.8700749460727,1009.8090697023491,13.766688691995412,531.6741998662789
IN.43,Beverages,Manufacturing,19.49160341447887,13.286118430670887,32.22666280694237,-31.83670861679028,65.33613023853937
IN.44,Fish products,Manufacturing,414.3076167372686,503.95675065066644,1350.391803651458,21.638302143561237,225.93941050033925
IN.45,Tobacco products,Manufacturing,1.1167666957661972,0.9133043481139241,3.8574727479209048,-18.21887672900924,245.41437907712225
IN.46,Textiles,Manufacturing,394.24261463382254,345.85918360106297,514.5577523755672,-12.272501560415712,30.518044796728763
IN.47,Wearing apparel,Manufacturing,160.86486193802813,246.96443324227855,275.1865064661017,53.52291996335382,71.06688381214977
IN.48,Leather products,Manufacturing,32.19026549859592,36.50930418804127,40.42796320513673,13.417219841301831,25.59064853596849
IN.49,Wood products,Manufacturing,47.40718610133098,85.94785276538356,378.7662424523164,81.29709825357159,698.9637723756027
IN.50,Pulp,Manufacturing,0.0,0.0,0.0,,
IN.51,Re-processed paper,Manufacturing,1135.7986620713161,1822.6095024829233,1922.798103138308,60.46941798285749,69.29040043345083
IN.52,Paper products,Manufacturing,0.0,0.0,0.0,,
