Product,Paddy,Wheat,Coarse cereals,Gram,Arhar,Other pulses,Groundnut,Rapeseed and mustard,Other oil seeds,kapas,"jute, hemp and mesta",Sugarcane,Coconut,Tobacco,Tea,Coffee,Rubber,Fruits,Vegetables,Other food crops,Milk,Wool,Egg and poultry,Other livestock products,Industry Wood,Firewood,Other forestry products,Inland Fish,Marine Fish,Coal and Lignite,Natural Gas,Crude petroleum,Iron ore,Manganese ore,Bauxite,Copper ore,Other Metallic minerals,Limestone,Mica,Other non metallic minerals,Processed poultry meat & poultry meat products,Processed other meat & meat products,Processed fish & fish products,Processed fruits & Processed Vegetables,Dairy products,Edible Oils and Fats,"Grain Mill products, starch and starch products",Sugar,Bread & Bakery products,Miscellaneous food products,Alcoholic beverages,Non alcoholic beverages,Tea processed,Coffee processed,Tobacco Products,Cotton Yarn and Cotton Textiles,Synthetic yarn and synthetic  textiles,Wool yarn and woolen textiles,Silk yarn and silk textiles,Carpet weaving,Ready made garments,Misc. textile products,Leather footwear,Leather and leather products except footwear,Wood and wood products except furniture,"Paper, Paper products and newsprint","Publishing, printing and allied activities",Furniture & Fixtures,Rubber products,Plastic products,Petroleum products,Coal tar products,Inorganic chemicals,Organic chemicals,Fertilizers,Pesticides,"Paints, varnishes and lacquers",Drugs and medicine,"Soaps, cosmetics and glycerin","Synthetic fibres, resin",Other chemicals and chemical products,Cement,Non metallic mineral products,Iron and steel Ferro alloys,Iron and steel casting and forging,Iron and steel foundries,Non ferrous basic metals (including alloys),"Hand tools, hardware",Miscellaneous metal products,Tractors and  other agricultural implements,Industrial machinery for food and textile industry,Industrial machinery (except food and textile),Machine tools,Other non electrical machinery,Electrical industrial machinery,"Electrical cables, wires",Batteries,Electrical appliances,Communication equipment,Other electrical machinery,Electronic equipment including T.V,"Medical precision, optical instrument",Watches and clocks,Ships and boats,Rail equipment,Motor vehicles,Motor cycles and scooters,"Bicycles, cycle-rickshaw",Aircrafts & Spacecrafts,Other transport equipment,Gems & jewellery,Miscellaneous manufacturing,Construction and construction services,Electricity,Gas,Water Supply,Trade,Repair & Maintenance of Motor Vehicle,Hotels & Restaurant,Railway Transport,Land transport,Air transport,Water Transport,Supportive and Auxiliary transport activities,Storage and warehousing,Communication services,Financial services,Insurance services,Ownership of dwellings,Real estate services,Renting of machinery & equipment,Research & Development Services,Legal services,Other Business services,Computer related services,Public administration and defence,Education services,Human health and social care services,"Community, social and personal services","Recreation, entertainment and radio & TV broadcasting  and other services"
Paddy,8941.0,8941.0,8941.0,8941.0,8941.0,8941.0,8941.0,8941.0,8941.0,8941.0,8941.0,8941.0,8941.0,8941.0,8941.0,8941.0,8941.0,8941.0,8941.0,8941.0,0.0,0.0,0.0740498712973072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,202.0,202.0,2617.5905830994698,0.0012644361678820694,202.0,111346.32010501869,0.0,0.0,10117.334441549105,0.0,1.402346020997914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.82542765208792,1.109341000932546,0.0,0.11742011238782186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1044.0767569482819,21.224949105857814,5.966075757575757,0.0,3264.642141099326,3299.806891118101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.457862323244605,0.0,0.0,0.0,0.0,13816.0,0.0,0.0,0.0,0.0
Wheat,7514.0,7514.0,7514.0,7514.0,7514.0,7514.0,7514.0,7514.0,7514.0,7514.0,7514.0,7514.0,7514.0,7514.0,7514.0,7514.0,7514.0,7514.0,7514.0,7514.0,0.0,0.0,0.030426432265725237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,83.0,83.0,1391.8276738384784,13.150499201902914,83.0,46990.13501553302,425.0,425.0,4630.694027615538,24.97795087372239,25.56749085188605,425.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27497214334495523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.1268680954811,9.271241590205905,4.647045454545454,0.0,2743.5992672207067,1398.069227158334,0.0,12843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.350715124994935,0.0,0.0,0.0,0.0,36218.0,0.0,0.0,133.31113329397846,652.9960783827053
Coarse cereals,1210.0,1210.0,1210.0,1210.0,1210.0,1210.0,1210.0,1210.0,1210.0,1210.0,1210.0,1210.0,1210.0,1210.0,1210.0,1210.0,1210.0,1210.0,1210.0,1210.0,0.0,0.0,0.25624188137038484,0.0,0.0,0.0,0.0,355.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.0,699.0,699.0,1126.9378546928594,23.73622108854183,699.0,17295.3595345439,767.0,767.0,2255.3023931470334,697.7278890537422,697.7690571457885,767.0,767.0,0.0,0.0,5.171379964989275,0.0,0.0,0.0,0.0,0.2542209358417752,0.0,0.0,0.0,1.0186076548844016,0.0,0.0,0.0,0.0,0.0,0.0,62.0,58.57454800330685,62.0,62.0,62.0,19.900244372621668,60.66879079888095,15.397964743825751,54.55391540160474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.25020563286412,4.583161795664105,5.006181818181818,0.24261300111803227,441.80930441004193,537.5568881196248,0.0,6226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.657742798103806,0.0,0.0,0.0,0.0,616.0,0.0,0.0,64.62626457123022,316.5579369314586
Gram,4470.0,4470.0,4470.0,4470.0,4470.0,4470.0,4470.0,4470.0,4470.0,4470.0,4470.0,4470.0,4470.0,4470.0,4470.0,4470.0,4470.0,4470.0,4470.0,4470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.25526972248207,13.490332070983694,0.0,7234.41889267067,436.0,436.0,1027.1653263246174,10.61069897790966,10.735610957217606,436.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.23009790233388,1.7093018678200227,2.5703774104683195,0.0,1632.1385047213946,219.89635860945162,0.0,2229.0,0.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8354402171711035,0.0,0.0,0.0,0.0,764.0,0.0,0.0,23.13715768218313,113.33241911664331
Arhar,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.5691300280636,1.7636443303808957,0.0,12164.356487338953,57.0,57.0,1152.6771947165064,1.3871785361028686,1.4035087719298247,57.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.13374361483594,2.3487671640536223,0.933590909090909,0.0,184.75661820783571,360.80261549819164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.283426522426158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other pulses,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0,737.0,737.0,736.7298279448212,737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525.6168537574056,47.8349848205064,0.0,20850.138454776035,1546.0,1546.0,3206.2761404139337,56.161782888229475,56.46735747751445,1546.0,1546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3482980482369433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.34763132031063,5.159208420103036,8.86008953168044,0.0,644.0922421316644,637.6189826274508,0.0,11874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.128611077346948,0.0,0.0,0.0,0.0,3553.0,0.0,0.0,123.25285344021647,603.727745442361
Groundnut,2945.0,2945.0,2945.0,2945.0,2945.0,2945.0,2945.0,2945.0,2945.0,2945.0,2945.0,2945.0,2945.0,2945.0,2945.0,2945.0,2945.0,2945.0,2945.0,2945.0,0.0,0.0,0.86770319485508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2367.0,2367.0,2367.0,1030.8050826317428,1872.9538355607024,2367.0,842.7124044407221,556.0,556.0,677.599365022314,13.531074843389383,30.12280701754386,556.0,556.0,0.0,28.0,25.664538080327425,28.0,28.0,28.0,10.147108524220803,27.88519054510371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.04608043827224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.59429795885655,2.082100541869982,3.356454545454546,0.0,1075.312728502127,90.62133922275368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5412260443255947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rapeseed and mustard,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,0.0,0.0,9.910585497637129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27035.0,27035.0,27035.0,7329.658013719986,3.0158117116835155,27035.0,350.64239000659336,92.0,92.0,1396.8425360170127,2.238954830201121,189.9505830853938,92.0,92.0,0.0,0.0,4.253877067975049,0.0,0.0,0.0,0.0,0.2091172214182344,0.0,0.0,0.0,0.8378869419210401,0.0,0.0,0.0,0.0,0.0,0.0,51.0,37.68722367995399,51.0,51.0,51.0,0.0,49.38353168435543,12.666067773146988,44.819802063239116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.23522290602466,10.866556259795997,4.742895316804408,0.19956875898418783,90.1875191646945,525.8139207864692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.566062963413152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other oil seeds,4356.0,4356.0,4356.0,4356.0,4356.0,4356.0,4356.0,4356.0,4356.0,4356.0,4356.0,4356.0,4356.0,4356.0,4356.0,4356.0,4356.0,4356.0,4356.0,4356.0,0.0,0.0,12.549620267287201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34234.0,34234.0,34234.0,9852.288135328967,19.861907295546306,34234.0,10016.900404512002,635.0,635.0,3078.514826129931,15.453655621496868,253.29851920248967,635.0,635.0,55.0,538.0,515.1458369289184,538.0,538.0,538.0,194.9694423582426,536.8765074770863,0.0,0.0,0.0,4.337297111120678,0.0,0.0,0.0,0.0,0.0,0.0,264.0,195.08680493152653,264.0,264.0,264.0,0.0,255.63239930725166,469.95093000309265,232.00838715088483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.9223192856209,17.34196559816214,10.986410468319562,1.0330618112122665,1590.513495876151,976.7348673122697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.960516186540254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kapas,1311.0,1311.0,1311.0,1311.0,1311.0,1311.0,1311.0,1311.0,1311.0,1311.0,1311.0,1311.0,1311.0,1311.0,1311.0,1311.0,1311.0,1311.0,1311.0,1311.0,0.0,0.0,0.9171919702270427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2502.0,2502.0,2502.0,676.7838322419706,0.015661481643767017,2502.0,215.0334776746203,0.0,0.0,138.6134198939707,0.0,17.36965220067713,0.0,0.0,0.0,102281.0,93749.80783549891,102281.0,102281.0,102281.0,37154.28949962448,101861.61336227688,0.0,0.0,0.0,0.0,0.0,17.372690116296848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.42141736120567,3.676673031662152,76879.07690381868,0.389163801056781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4954.5430057408485,191.1869501480951,313.4743319559229,0.0,478.68760172030164,3458.9891062266975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.54800251205381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
