Product,Total_Output_crore,Total_Output_USD_M,Final_Demand_crore,Final_Demand_USD_M,Supply_Output_crore,Supply_Output_USD_M,Total_Output_2015prices,Total_Output_2015prices_USD_M,Deflator,USD_INR_Rate,Output_Sign_Corrected
Paddy,532321.0,82980.67030397506,153095.0,23865.159781761493,250602.0,39065.003897116134,532321.0,82980.67030397506,1.0,64.15,0
Wheat,480528.0,74906.93686671862,101302.0,15791.426344505066,165526.0,25802.961808261884,480528.0,74906.93686671862,1.0,64.15,0
Coarse cereals,437490.0,68197.97349961028,58264.0,9082.462977396726,68666.0,10703.975058456741,437490.0,68197.97349961028,1.0,64.15,0
Gram,424045.0,66102.10444271239,44819.0,6986.59392049883,56244.0,8767.575993764613,424045.0,66102.10444271239,1.0,64.15,0
Arhar,399388.0,62258.45674201091,20162.0,3142.94621979735,28758.0,4482.930631332813,399388.0,62258.45674201091,1.0,64.15,0
Other pulses,399720.0,62310.21044427124,20494.0,3194.699922057677,52131.0,8126.422447388932,399720.0,62310.21044427124,1.0,64.15,0
Groundnut,410115.0,63930.63133281371,30889.0,4815.120810600156,36183.0,5640.374123148869,410115.0,63930.63133281371,1.0,64.15,0
Rapeseed and mustard,387776.0,60448.32424006235,8550.0,1332.8137178487918,28423.0,4430.709275136399,387776.0,60448.32424006235,1.0,64.15,0
Other oil seeds,402416.0,62730.47544816835,23190.0,3614.964925954793,55892.0,8712.704598597038,402416.0,62730.47544816835,1.0,64.15,0
kapas,379426.0,59146.687451286045,200.0,31.176929072486356,82217.0,12816.367887763054,379426.0,59146.687451286045,1.0,64.15,0
"jute, hemp and mesta",380000.0,59236.16523772408,774.0,120.65471551052221,8105.0,1263.4450506625096,380000.0,59236.16523772408,1.0,64.15,0
Sugarcane,418252.0,65199.06469212782,39026.0,6083.554169914263,94979.0,14805.767731878408,418252.0,65199.06469212782,1.0,64.15,0
Coconut,396869.0,61865.78332034294,17643.0,2750.2727981293842,17052.0,2658.1449727201866,396869.0,61865.78332034294,1.0,64.15,0
Tobacco,390766.0,60914.41932969602,11540.0,1798.9088074824629,10117.0,1577.0849571317224,390766.0,60914.41932969602,1.0,64.15,0
Tea,379278.0,59123.616523772405,52.0,8.106001558846453,13671.0,2131.098986749805,379278.0,59123.616523772405,1.0,64.15,0
Coffee,382954.0,59696.6484801247,3728.0,581.1379579111457,8350.0,1301.6367887763054,382954.0,59696.6484801247,1.0,64.15,0
Rubber,379245.0,59118.472330475444,19.0,2.961808261886204,8013.0,1249.103663289166,379245.0,59118.472330475444,1.0,64.15,0
Fruits,718893.0,112064.38035853468,339667.0,52948.869836321115,244594.0,38128.44894777864,718893.0,112064.38035853468,1.0,64.15,0
Vegetables,689287.0,107449.25954793452,310061.0,48333.749025720965,239839.0,37387.217459080275,689287.0,107449.25954793452,1.0,64.15,0
Other food crops,551278.0,85935.77552611066,172052.0,26820.265003897115,349470.0,54477.00701480904,551278.0,85935.77552611066,1.0,64.15,0
Milk,855179.0,133309.27513639905,577113.0,89963.0553390491,629259.0,98091.81605611846,855179.0,133309.27513639905,1.0,64.15,0
Wool,278134.0,43356.819953234604,68.0,10.600155884645362,432.0,67.34216679657054,278134.0,43356.819953234604,1.0,64.15,0
Egg and poultry,384697.8239044333,59968.48385104182,106617.0,16619.95323460639,125483.0,19560.872954014027,384697.8239044333,59968.48385104182,1.0,64.15,0
Other livestock products,486942.0,75906.78098207327,208876.0,32560.5611847233,195549.0,30483.086515978175,486942.0,75906.78098207327,1.0,64.15,0
Industry Wood,40052.0,6243.491816056118,0.0,0.0,143172.0,22318.316445830085,40052.0,6243.491816056118,1.0,64.15,0
Firewood,119127.0,18570.07014809041,79075.0,12326.578332034294,60076.0,9364.925954793453,119127.0,18570.07014809041,1.0,64.15,0
Other forestry products,50063.0,7804.053000779422,10011.0,1560.5611847233047,42167.0,6573.187840997661,50063.0,7804.053000779422,1.0,64.15,0
Inland Fish,154559.0,24093.374902572094,127622.0,19894.31021044427,102798.0,16024.629773967263,154559.0,24093.374902572094,1.0,64.15,0
Marine Fish,121038.0,18867.965705378017,94101.0,14668.901013250194,78782.0,12280.904130943101,121038.0,18867.965705378017,1.0,64.15,0
Coal and Lignite,88522.25801293818,13799.260797028555,7510.0,1170.6936866718627,122583.0,19108.807482462977,88522.25801293818,13799.260797028555,1.0,64.15,0
Natural Gas,164724.60794971974,25678.037092707673,763.0,118.93998441153545,82418.0,12847.700701480902,164724.60794971974,25678.037092707673,1.0,64.15,0
Crude petroleum,240116.6199970143,37430.49415386037,42542.0,6631.644583008573,180867.0,28194.38815276695,240116.6199970143,37430.49415386037,1.0,64.15,0
Iron ore,49316.0,7687.607170693686,9989.0,1557.131722525331,57802.0,9010.444271239283,49316.0,7687.607170693686,1.0,64.15,0
Manganese ore,20234.0,3154.1699142634448,313.0,48.79189399844115,5504.0,857.9890880748245,20234.0,3154.1699142634448,1.0,64.15,0
Bauxite,50410.83256161316,7858.274756291997,609.0,94.93374902572096,6695.0,1043.6477007014807,50410.83256161316,7858.274756291997,1.0,64.15,0
Copper ore,20564.0,3205.6118472330472,643.0,100.23382696804364,2204.0,343.56975837879963,20564.0,3205.6118472330472,1.0,64.15,0
Other Metallic minerals,32065.022681033828,4998.44468917129,2049.0,319.4076383476227,39813.0,6206.235385814497,32065.022681033828,4998.44468917129,1.0,64.15,0
Limestone,41077.0,6403.273577552611,840.0,130.9431021044427,24144.0,3763.678877630553,41077.0,6403.273577552611,1.0,64.15,0
Mica,258740.0,40333.5931410756,4.0,0.6235385814497272,90.0,14.02961808261886,258740.0,40333.5931410756,1.0,64.15,0
Other non metallic minerals,161498.21152376852,25175.091430049648,18090.0,2819.953234606391,174075.0,27135.619641465313,161498.21152376852,25175.091430049648,1.0,64.15,0
Processed poultry meat & poultry meat products,327950.0,51122.369446609504,9446.0,1472.4863600935307,2237.0,348.7139516757599,327950.0,51122.369446609504,1.0,64.15,0
Processed other meat & meat products,365179.0,56925.798908807476,46675.0,7275.915822291504,27979.0,4361.496492595479,365179.0,56925.798908807476,1.0,64.15,0
Processed fish & fish products,363912.0,56728.29306313328,45408.0,7078.409976617302,40630.0,6333.593141075604,363912.0,56728.29306313328,1.0,64.15,0
Processed fruits & Processed Vegetables,362395.13253819774,56491.83671678842,65911.0,10274.51286048324,64140.0,9998.441153546375,362395.13253819774,56491.83671678842,1.0,64.15,0
Dairy products,307767.55007980973,47976.23539825561,146488.0,22835.229929851906,159755.0,24903.35151987529,307767.55007980973,47976.23539825561,1.0,64.15,0
Edible Oils and Fats,454559.0,70858.76851130163,136055.0,21208.885424785658,199576.0,31110.833982852688,454559.0,70858.76851130163,1.0,64.15,0
"Grain Mill products, starch and starch products",631135.053459736,98384.26398437038,260272.0,40572.40841777084,336702.0,52486.67186282151,631135.053459736,98384.26398437038,1.0,64.15,0
Sugar,400446.0,62423.38269680436,103694.0,16164.302416212002,98938.0,15422.915042868277,400446.0,62423.38269680436,1.0,64.15,0
Bread & Bakery products,344665.0,53727.98129384255,47913.0,7468.901013250194,40535.0,6318.784099766172,344665.0,53727.98129384255,1.0,64.15,0
Miscellaneous food products,457000.26228771685,71239.32381725905,154606.0,24100.70148090413,133548.0,20818.08261886204,457000.26228771685,71239.32381725905,1.0,64.15,0
Alcoholic beverages,144081.78496950213,22460.137953156995,81771.0,12746.84333593141,48528.0,7564.77007014809,144081.78496950213,22460.137953156995,1.0,64.15,0
Non alcoholic beverages,99097.79573202011,15447.824743884661,34899.0,5440.218238503507,29241.0,4558.2229150428675,99097.79573202011,15447.824743884661,1.0,64.15,0
Tea processed,317264.0,49456.58612626656,20512.0,3197.505845674201,37017.0,5770.381917381137,317264.0,49456.58612626656,1.0,64.15,0
Coffee processed,299877.0,46746.21979734996,3125.0,487.1395167575993,7165.0,1116.9134840218237,299877.0,46746.21979734996,1.0,64.15,0
Tobacco Products,140795.0,21947.778643803584,110831.0,17276.85113016368,62229.0,9700.545596258768,140795.0,21947.778643803584,1.0,64.15,0
