Product,Total_Output_crore,Total_Output_USD_M,Final_Demand_crore,Final_Demand_USD_M,Supply_Output_crore,Supply_Output_USD_M,Total_Output_2015prices,Total_Output_2015prices_USD_M,Deflator,USD_INR_Rate
Paddy,649312.0,92218.7189319699,199295.0,28304.92827723335,322921.0,45862.945604317574,553446.3868762816,86273.79374532837,1.1732157177225342,70.41
Wheat,581694.0,82615.2535151257,131677.0,18701.46286038915,213911.0,30380.769777020312,495811.63226247433,77289.42046180424,1.1732157177225342,70.41
Coarse cereals,531919.0,75545.94517824173,81902.0,11632.154523505185,95421.0,13552.194290583724,453385.50444292545,70675.83857255268,1.1732157177225342,70.41
Gram,467173.0,66350.37636699333,17156.0,2436.585712256782,52752.0,7492.117596932254,398198.72248803824,62073.066638821234,1.1732157177225342,70.41
Arhar,464687.0,65997.30151967051,14670.0,2083.510864933958,20638.0,2931.1177389575346,396079.7600820232,61742.752935623255,1.1732157177225342,70.41
Other pulses,486271.0,69062.77517398098,36254.0,5148.984519244425,43902.0,6235.193864507883,414477.0587833219,64610.609319301926,1.1732157177225342,70.41
Groundnut,496572.0,70525.77758841074,46555.0,6611.986933674194,49349.0,7008.805567390996,423257.20027341077,65979.29856171641,1.1732157177225342,70.41
Rapeseed and mustard,456110.0,64779.150688822614,6093.0,865.3600340860673,38755.0,5504.189745774748,388769.0840738209,60603.130798725,1.1732157177225342,70.41
Other oil seeds,465433.0,66103.25237892345,15416.0,2189.4617241869055,62450.0,8869.478767220566,396715.61927546136,61841.87362049281,1.1732157177225342,70.41
kapas,450147.0,63932.25394120154,130.0,18.46328646499077,93849.0,13328.930549637837,383686.4723171565,59810.82966752244,1.1732157177225342,70.41
"jute, hemp and mesta",450155.0,63933.39014344553,138.0,19.5994887089902,7229.0,1026.7007527339867,383693.29118250165,59811.89262392855,1.1732157177225342,70.41
Sugarcane,500070.0,71022.58201959949,50053.0,7108.791364862946,117264.0,16654.452492543674,426238.7491455912,66444.07625028702,1.1732157177225342,70.41
Coconut,473277.0,67217.2986791649,23260.0,3303.5080244283486,24629.0,3497.9406334327514,403401.51674641145,62884.10237668144,1.1732157177225342,70.41
Tobacco,462162.0,65638.68768640819,12145.0,1724.8970316716377,10704.0,1520.23860247124,393927.55570745043,61407.25731994551,1.1732157177225342,70.41
Tea,450054.0,63919.04559011504,37.0,5.254935378497373,16217.0,2303.2239738673484,383607.2030075188,59798.47279930144,1.1732157177225342,70.41
Coffee,453300.0,64380.05965061781,3283.0,466.2689958812669,6943.0,986.081522511007,386373.95762132603,60229.767361079656,1.1732157177225342,70.41
Rubber,450050.0,63918.47748899304,33.0,4.686834256497657,8806.0,1250.6746200823748,383603.7935748462,59797.941321098384,1.1732157177225342,70.41
Fruits,848116.0,120453.91279647777,398099.0,56540.12214174123,307282.0,43641.81224257918,722898.6001367053,112688.79191530868,1.1732157177225342,70.41
Vegetables,865070.0,122861.80940207357,415053.0,58948.01874733703,361019.0,51273.824740803866,737349.4805194804,114941.46227895252,1.1732157177225342,70.41
Other food crops,710371.0,100890.64053401507,260354.0,36976.84987927851,425611.0,60447.52165885528,605490.5242652084,94386.6756453949,1.1732157177225342,70.41
Milk,916415.0,130154.09742934242,618161.0,87794.48941911661,845368.0,120063.62732566397,781113.8106630212,121763.64936290274,1.1732157177225342,70.41
Wool,298305.0,42366.85129953132,51.0,7.243289305496378,440.0,62.49112341996876,254262.70334928227,39635.651340496064,1.1732157177225342,70.41
Egg and poultry,456970.0,64901.292430052556,158716.0,22541.68441982673,179645.0,25514.131515409743,389502.11209842784,60717.39861238158,1.1732157177225342,70.41
Other livestock products,570149.0,80975.57165175401,271895.0,38615.96364152819,250719.0,35608.4363016617,485971.1572112098,75755.44149824003,1.1732157177225342,70.41
Industry Wood,53163.0,7550.489987217725,911.0,129.3850305354353,210856.0,29946.882545093027,45313.91729323308,7063.743927238203,1.1732157177225342,70.41
Firewood,137938.0,19590.683141599206,85686.0,12169.578184916916,67558.0,9594.943900014203,117572.58099794941,18327.76009321113,1.1732157177225342,70.41
Other forestry products,70457.0,10006.675188183497,18205.0,2585.570231501207,43561.0,6186.763243857407,60054.599453178394,9361.589938141604,1.1732157177225342,70.41
Inland Fish,194893.0,27679.732992472662,154918.0,22002.272404488,157806.0,22412.441414571796,166118.64046479834,25895.3453569444,1.1732157177225342,70.41
Marine Fish,191314.0,27171.424513563416,151339.0,21493.963925578755,117721.0,16719.35804573214,163068.05058099792,25419.805234761952,1.1732157177225342,70.41
Coal and Lignite,130992.72323949888,18604.278261539395,9703.0,1378.071296690811,146961.0,20872.177247550066,111652.71762109028,17404.944290115396,1.1732157177225342,70.41
Natural Gas,369674.68969803315,52503.15149808737,479.0,68.03010935946598,54708.0,7769.919045590115,315095.24132156343,49118.50994880178,1.1732157177225342,70.41
