Product,Paddy,Wheat,Coarse cereals,Gram,Arhar,Other pulses,Groundnut,Rapeseed and mustard,Other oil seeds,kapas,"jute, hemp and mesta",Sugarcane,Coconut,Tobacco,Tea,Coffee,Rubber,Fruits,Vegetables,Other food crops,Milk,Wool,Egg and poultry,Other livestock products,Industry Wood,Firewood,Other forestry products,Inland Fish,Marine Fish,Coal and Lignite,Natural Gas,Crude petroleum,Iron ore,Manganese ore,Bauxite,Copper ore,Other Metallic minerals,Limestone,Mica,Other non metallic minerals,Processed poultry meat & poultry meat products,Processed other meat & meat products,Processed fish & fish products,Processed fruits & Processed Vegetables,Dairy products,Edible Oils and Fats,"Grain Mill products, starch and starch products",Sugar,Bread & Bakery products,Miscellaneous food products,Alcoholic beverages,Non alcoholic beverages,Tea processed,Coffee processed,Tobacco Products,Cotton Yarn and Cotton Textiles,Synthetic yarn and synthetic textiles,Wool yarn and woolen textiles,Silk yarn and silk textiles,Carpet weaving,Ready made garments,Misc. textile products,Leather footwear,Leather and leather products except footwear,Wood and wood products except furniture,"Paper, Paper products and newsprint","Publishing, printing and allied activities",Furniture & Fixtures,Rubber products,Plastic products,Petroleum products,Coal tar products,Inorganic chemicals,Organic chemicals,Fertilizers,Pesticides,"Paints, varnishes and lacquers",Drugs and medicine,"Soaps, cosmetics and glycerin","Synthetic fibres, resin",Other chemicals and chemical products,Cement,Non metallic mineral products,Iron and steel Ferro alloys,Iron and steel casting and forging,Iron and steel foundries,Non ferrous basic metals (including alloys),"Hand tools, hardware",Miscellaneous metal products,Tractors and other agricultural implements,Industrial machinery for food and textile industry,Industrial machinery (except food and textile),Machine tools,Other non electrical machinery,Electrical industrial machinery,"Electrical cables, wires",Batteries,Electrical appliances,Communication equipment,Other electrical machinery,Electronic equipment including T.V,"Medical precision, optical instrument",Watches and clocks,Ships and boats,Rail equipment,Motor vehicles,Motor cycles and scooters,"Bicycles, cycle-rickshaw",Aircrafts & Spacecrafts,Other transport equipment,Gems & jewellery,Miscellaneous manufacturing,Construction and construction services,Electricity,Gas,Water Supply,Trade,Repair & Maintenance of Motor Vehicle,Hotels & Restaurant,Railway Transport,Land transport,Air transport,Water Transport,Supportive and Auxiliary transport activities,Storage and warehousing,Communication services,Financial services,Insurance services,Ownership of dwellings,Real estate services,Renting of machinery & equipment,Research & Development Services,Legal services,Other Business services,Computer related services,Public administration and defence,Education services,Human health and social care services,"Community, social and personal services","Recreation, entertainment and radio & TV broadcasting and other services"
Paddy,14301.0,14301.0,14301.0,14301.0,14301.0,14301.0,14301.0,14301.0,14301.0,14301.0,14301.0,14301.0,14301.0,14301.0,14301.0,14301.0,14301.0,14301.0,14301.0,14301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6335.856660386079,0.0,0.0,143692.30142433074,0.0,0.0,7719.486516543436,0.0,0.0,0.0,0.0,0.0,0.0,37.48197932546262,0.0,0.0,0.0,0.0,0.8776595744680852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.42640883682367,140.13741272979308,212.0,212.0,212.0,0.0,203.4084618667317,144.67279250897,192.82152143904293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6276.434606946669,37.07604631074533,11.651499157706596,0.21576265229615743,4049.693606073623,3281.627701608932,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.13172200121917,22.40217379537311,0.0,0.0,0.0,30184.0,0.0,0.0,0.0,0.0
Wheat,9616.0,9616.0,9616.0,9616.0,9616.0,9616.0,9616.0,9616.0,9616.0,9616.0,9616.0,9616.0,9616.0,9616.0,9616.0,9616.0,9616.0,9616.0,9616.0,9616.0,891.0,891.0,891.0,891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2407.166269686089,0.0,0.0,54592.166385250144,4.0,4.0,2936.4653730276946,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000544014741044596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2377.9054919205014,13.896677633335559,4.407433356064356,0.0,2722.9653736249375,1245.5290396969544,0.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.300434255261653,8.308488411115801,0.0,0.0,0.0,41216.0,0.0,0.0,0.0,0.0
Coarse cereals,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,2557.0,2557.0,2557.0,2557.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,103.0,103.0,1411.1596217426854,187.04851201452524,103.0,29025.640009259514,1029.0,1029.0,2500.9585622139693,415.0,404.0822701275847,1029.0,1029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.303467177540673,0.0,0.0,0.0,580.4949397385548,23.54567761994757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13994779213372233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1322.2969270601623,9.64548840786285,10.083573358410115,0.0,422.0181676409615,678.306481009891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.669632925472747,22.593869420718175,0.0,0.0,0.0,1289.0,0.0,0.0,0.0,0.0
Gram,4198.0,4198.0,4198.0,4198.0,4198.0,4198.0,4198.0,4198.0,4198.0,4198.0,4198.0,4198.0,4198.0,4198.0,4198.0,4198.0,4198.0,4198.0,4198.0,4198.0,1286.0,1286.0,1286.0,1286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,2019.0095630843614,0.0,8.0,45633.30744301315,0.0,0.0,2451.8052127494657,0.0,0.27994179160039256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.608390908951023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987.8767539948792,11.619997936691652,3.6605209867547672,0.0,1188.7465868554248,1041.329204664179,0.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.337657032609993,6.942212551286631,0.0,0.0,0.0,11247.0,0.0,0.0,0.0,0.0
Arhar,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.96910661594796,0.0,0.0,8277.215487894551,0.0,0.0,444.67137571023204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.5198545823922,2.10645982032374,0.6638309974352347,0.0,129.69167771697516,188.841359775615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.593478001294596,1.2588526950515844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other pulses,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,3654.0,3654.0,3654.0,3654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,706.4962849728039,0.0,15.0,15699.26729349928,248.0,248.0,1070.0046371497704,0.0,0.5248908592507361,248.0,248.0,0.0,0.0,4.243242942505202,0.0,0.0,0.0,0.0,0.09935768767563227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.595442509829095,15.864612761863368,24.0,24.0,24.0,4.995653526149352,23.230003657867464,16.378051982147547,21.828851483665236,0.0,0.0,0.0,0.0,0.0,0.0,0.03372891394476495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.8820906836116,4.289627435034018,3.0828177335197484,0.02442596063730084,524.8426685094223,360.79394199585516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.033244722635947,2.952155933010728,0.0,0.0,0.0,1946.0,0.0,0.0,0.0,0.0
Groundnut,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15176.0,15176.0,15176.0,13074.398272245726,0.0,15176.0,81.06931016639888,101.0,101.0,622.2865057593671,0.0,531.0495786659448,101.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.67106498222722,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.4551271764422692,8.74220554942516,0.0,0.0,0.0,0.0,0.0,0.0,2.442542080876609,0.0,0.0,0.0,0.0,0.0,0.0,0.013736372211376049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.61610878061913,6.058836826187709,2.1666080227019613,0.008896145735707591,1045.6326737388642,313.90855804440963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.179270124369198,2.3088510712004586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rapeseed and mustard,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74544.0,74544.0,74544.0,64365.44036403712,0.0,74544.0,3735.0112748168526,0.0,0.0,2783.645069321345,0.0,2608.497614132458,0.0,0.0,0.0,2280.0,1876.8919204620058,2280.0,2280.0,2280.0,141.299450970275,2263.0289040545968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229030195436782,0.0,724.0850616959832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1856.3823665875552,31.94433048610817,10.763889018632174,0.0,150.8349130605308,1658.6264799326402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.41106565361387,11.515529429595226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other oil seeds,8312.0,8312.0,8312.0,8312.0,8312.0,8312.0,8312.0,8312.0,8312.0,8312.0,8312.0,8312.0,8312.0,8312.0,8312.0,8312.0,8312.0,8312.0,8312.0,8312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85343.0,85343.0,85343.0,73901.15389811227,307.9344662259922,85343.0,8535.34089980664,4320.0,4320.0,7353.950494382174,0.0,2986.384040069038,4320.0,4320.0,704.0,613.0,524.7759071537461,613.0,613.0,613.0,37.98972080911341,608.9091061153485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0783519216882,75.356910618851,114.0,114.0,114.0,79.9920333963733,112.62211180881546,272.47300253784897,103.68704454740987,0.0,0.0,0.0,0.0,0.0,0.0,0.5875359203281637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.61763245776,39.77486989960416,41.10352683765794,0.116023313027179,2367.1264030779,1991.5176168784074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.03359036720022,22.2693806631808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kapas,1744.0,1744.0,1744.0,1744.0,1744.0,1744.0,1744.0,1744.0,1744.0,1744.0,1744.0,1744.0,1744.0,1744.0,1744.0,1744.0,1744.0,1744.0,1744.0,1744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.0,937.0,937.0,818.3684453766575,0.0,937.0,258.10243334513467,0.0,0.0,46.333443420706764,0.0,32.78818234119598,0.0,0.0,0.0,133264.0,109702.68635458278,133264.0,133264.0,133264.0,13069.029144529453,132288.99498193496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3866140195997,0.0,42322.1366937954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14217.2525237096,150.1808941474967,209.95099855621672,0.0,493.91778570494745,2823.987825482208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.77112673843504,29.46972600218679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
