Product,Final_Demand
Paddy,199295.0
Wheat,131677.0
Coarse cereals,81902.0
Gram,17156.0
Arhar,14670.0
Other pulses,36254.0
Groundnut,46555.0
Rapeseed and mustard,6093.0
Other oil seeds,15416.0
kapas,130.0
"jute, hemp and mesta",138.0
Sugarcane,50053.0
Coconut,23260.0
Tobacco,12145.0
Tea,37.0
Coffee,3283.0
Rubber,33.0
Fruits,398099.0
Vegetables,415053.0
Other food crops,260354.0
Milk,618161.0
Wool,51.0
Egg and poultry,158716.0
Other livestock products,271895.0
Industry Wood,911.0
Firewood,85686.0
Other forestry products,18205.0
Inland Fish,154918.0
Marine Fish,151339.0
Coal and Lignite,9703.0
Natural Gas,479.0
Crude petroleum,1443.0
Iron ore,19134.0
Manganese ore,178.0
Bauxite,172.0
Copper ore,2059.0
Other Metallic minerals,1456.0
Limestone,1167.0
Mica,4.0
Other non metallic minerals,21328.0
Processed poultry meat & poultry meat products,4435.0
Processed other meat & meat products,30576.0
Processed fish & fish products,53207.0
Processed fruits & Processed Vegetables,53220.0
Dairy products,198363.0
Edible Oils and Fats,238457.0
"Grain Mill products, starch and starch products",347079.0
Sugar,174947.0
Bread & Bakery products,69355.0
Miscellaneous food products,180580.0
Alcoholic beverages,79747.0
Non alcoholic beverages,36205.0
Tea processed,47876.0
Coffee processed,9792.0
Tobacco Products,81673.0
Cotton Yarn and Cotton Textiles,311050.0
Synthetic yarn and synthetic textiles,37927.0
Wool yarn and woolen textiles,17722.0
Silk yarn and silk textiles,12297.0
Carpet weaving,23796.0
Ready made garments,274653.0
Misc. textile products,197024.0
Leather footwear,98343.0
Leather and leather products except footwear,33184.0
Wood and wood products except furniture,26717.0
"Paper, Paper products and newsprint",42956.0
"Publishing, printing and allied activities",51521.0
Furniture & Fixtures,76029.0
Rubber products,47665.0
Plastic products,100261.0
Petroleum products,581384.0
Coal tar products,16385.0
Inorganic chemicals,18582.0
Organic chemicals,162940.0
Fertilizers,3751.0
Pesticides,12884.0
"Paints, varnishes and lacquers",133109.0
Drugs and medicine,399371.0
"Soaps, cosmetics and glycerin",148207.0
"Synthetic fibres, resin",92.0
Other chemicals and chemical products,7401.0
Cement,19337.0
Non metallic mineral products,31950.0
Iron and steel Ferro alloys,1229.0
Iron and steel casting and forging,52315.0
Iron and steel foundries,40703.0
Non ferrous basic metals (including alloys),44171.0
"Hand tools, hardware",67919.0
Miscellaneous metal products,30274.0
Tractors and other agricultural implements,76079.0
Industrial machinery for food and textile industry,98311.0
Industrial machinery (except food and textile),232361.0
Machine tools,178850.0
Other non electrical machinery,44320.0
Electrical industrial machinery,213794.0
"Electrical cables, wires",93261.0
Batteries,24756.0
Electrical appliances,185569.0
Communication equipment,42835.0
Other electrical machinery,178520.0
Electronic equipment including T.V,160966.0
"Medical precision, optical instrument",93772.0
Watches and clocks,8969.0
Ships and boats,56711.0
Rail equipment,16102.0
Motor vehicles,686390.0
Motor cycles and scooters,128344.0
"Bicycles, cycle-rickshaw",18271.0
Aircrafts & Spacecrafts,94748.0
Other transport equipment,18531.0
Gems & jewellery,654307.0
Miscellaneous manufacturing,261060.0
Construction and construction services,3371277.0
Electricity,155470.0
Gas,88728.0
Water Supply,65370.0
Trade,0.0
Repair & Maintenance of Motor Vehicle,58226.0
Hotels & Restaurant,447592.0
Railway Transport,39498.0
Land transport,513126.0
Air transport,78517.0
Water Transport,51764.0
Supportive and Auxiliary transport activities,5840.0
Storage and warehousing,0.0
Communication services,331864.0
Financial services,442768.0
Insurance services,138981.0
Ownership of dwellings,1166877.0
Real estate services,149988.0
Renting of machinery & equipment,153551.0
Research & Development Services,98788.0
Legal services,82664.0
Other Business services,387526.0
Computer related services,1249129.0
Public administration and defence,1496744.0
Education services,1033220.0
Human health and social care services,504208.0
"Community, social and personal services",457922.0
"Recreation, entertainment and radio & TV broadcasting and other services",189797.0
