,PFCE,GFCE,GFCF,CIS,Valuables,Export
Paddy,156579.0,0.0,0.0,1808.0,0.0,40908.0
Wheat,129716.0,0.0,0.0,1517.0,0.0,444.0
Coarse cereals,80506.0,0.0,0.0,155.0,0.0,1241.0
Gram,16979.0,0.0,0.0,177.0,0.0,0.0
Arhar,14660.0,0.0,0.0,10.0,0.0,0.0
Other pulses,36039.0,0.0,0.0,213.0,0.0,2.0
Groundnut,46529.0,0.0,0.0,26.0,0.0,0.0
Rapeseed and mustard,6084.0,0.0,0.0,9.0,0.0,0.0
Other oil seeds,10998.0,0.0,0.0,117.0,0.0,4301.0
kapas,0.0,0.0,0.0,118.0,0.0,12.0
"jute, hemp and mesta",0.0,0.0,0.0,2.0,0.0,136.0
Sugarcane,49887.0,0.0,0.0,111.0,0.0,55.0
Coconut,23103.0,0.0,0.0,1.0,0.0,156.0
Tobacco,12145.0,0.0,0.0,0.0,0.0,0.0
Tea,0.0,0.0,0.0,37.0,0.0,0.0
Coffee,0.0,0.0,0.0,15.0,0.0,3268.0
Rubber,0.0,0.0,0.0,33.0,0.0,0.0
Fruits,389077.0,0.0,0.0,182.0,0.0,8840.0
Vegetables,404686.0,0.0,0.0,821.0,0.0,9546.0
Other food crops,235442.0,0.0,0.0,9424.0,0.0,15488.0
Milk,616290.0,0.0,0.0,1871.0,0.0,0.0
Wool,0.0,0.0,0.0,4.0,0.0,47.0
Egg and poultry,156446.0,0.0,0.0,1724.0,0.0,546.0
Other livestock products,256381.0,0.0,6812.0,402.0,0.0,8300.0
Industry Wood,0.0,0.0,0.0,911.0,0.0,0.0
Firewood,85685.0,0.0,0.0,1.0,0.0,0.0
Other forestry products,17123.0,0.0,0.0,522.0,0.0,560.0
Inland Fish,154864.0,0.0,0.0,43.0,0.0,11.0
Marine Fish,151252.0,0.0,0.0,19.0,0.0,68.0
Coal and Lignite,3691.0,0.0,0.0,5128.0,0.0,884.0
Natural Gas,0.0,0.0,0.0,479.0,0.0,0.0
Crude petroleum,0.0,0.0,0.0,1443.0,0.0,0.0
Iron ore,0.0,0.0,0.0,53.0,0.0,19081.0
Manganese ore,0.0,0.0,0.0,138.0,0.0,40.0
Bauxite,0.0,0.0,0.0,30.0,0.0,142.0
Copper ore,0.0,0.0,0.0,4.0,0.0,2055.0
Other Metallic minerals,0.0,0.0,0.0,356.0,0.0,1100.0
Limestone,0.0,0.0,0.0,701.0,0.0,466.0
Mica,0.0,0.0,0.0,4.0,0.0,0.0
Other non metallic minerals,0.0,0.0,0.0,5015.0,0.0,16313.0
Processed poultry meat & poultry meat products,4385.0,0.0,0.0,3.0,0.0,47.0
