Product,Total_Output
Paddy,649312.0
Wheat,581694.0
Coarse cereals,531919.0
Gram,467173.0
Arhar,464687.0
Other pulses,486271.0
Groundnut,496572.0
Rapeseed and mustard,456110.0
Other oil seeds,465433.0
kapas,450147.0
"jute, hemp and mesta",450155.0
Sugarcane,500070.0
Coconut,473277.0
Tobacco,462162.0
Tea,450054.0
Coffee,453300.0
Rubber,450050.0
Fruits,848116.0
Vegetables,865070.0
Other food crops,710371.0
Milk,916415.0
Wool,298305.0
Egg and poultry,456970.0
Other livestock products,570149.0
Industry Wood,53163.0
Firewood,137938.0
Other forestry products,70457.0
Inland Fish,194893.0
Marine Fish,191314.0
Coal and Lignite,130992.72323949888
Natural Gas,369674.68969803315
Crude petroleum,468548.6557256944
Iron ore,67428.0
Manganese ore,26159.0
Bauxite,26153.0
Copper ore,28040.0
Other Metallic minerals,27437.0
Limestone,55158.0
Mica,369465.0
Other non metallic minerals,197177.13555434527
Processed poultry meat & poultry meat products,456050.0
Processed other meat & meat products,482191.0
Processed fish & fish products,504822.0
Processed fruits & Processed Vegetables,483353.6686684614
Dairy products,393996.3452384691
Edible Oils and Fats,690072.0
"Grain Mill products, starch and starch products",756563.5314841592
Sugar,571023.0
Bread & Bakery products,465431.0
Miscellaneous food products,578541.5599752816
Alcoholic beverages,161080.0
Non alcoholic beverages,120240.62254661431
Tea processed,443952.0
Coffee processed,405868.0
Tobacco Products,119136.0
Cotton Yarn and Cotton Textiles,932273.0
Synthetic yarn and synthetic textiles,670487.975330182
Wool yarn and woolen textiles,638945.0
Silk yarn and silk textiles,633520.0
Carpet weaving,645019.0
Ready made garments,564930.1354376109
Misc. textile products,802413.1138609543
Leather footwear,181894.0
Leather and leather products except footwear,116735.0
Wood and wood products except furniture,101517.87790430621
"Paper, Paper products and newsprint",178795.03418440075
"Publishing, printing and allied activities",103168.43954243751
Furniture & Fixtures,210452.96642837595
Rubber products,377706.0
Plastic products,430302.0
Petroleum products,1724252.0
Coal tar products,1148044.6004800585
Inorganic chemicals,745536.7476491444
Organic chemicals,1078678.0596926485
Fertilizers,725597.0
Pesticides,734730.0
"Paints, varnishes and lacquers",854955.0
Drugs and medicine,644758.5992223714
"Soaps, cosmetics and glycerin",848601.9194576342
"Synthetic fibres, resin",690116.3979290191
Other chemicals and chemical products,887183.036108325
Cement,388798.0
Non metallic mineral products,401411.0
Iron and steel Ferro alloys,1012327.0
Iron and steel casting and forging,1060898.4948826868
Iron and steel foundries,1051732.9547853135
Non ferrous basic metals (including alloys),300529.89317947894
"Hand tools, hardware",361227.25500517857
Miscellaneous metal products,308592.13598602935
Tractors and other agricultural implements,476036.835089425
Industrial machinery for food and textile industry,496473.2769362285
Industrial machinery (except food and textile),633744.6992723984
Machine tools,616893.2037525894
Other non electrical machinery,478876.616633532
Electrical industrial machinery,686932.5043947775
"Electrical cables, wires",430678.3731120307
Batteries,330567.1245018031
Electrical appliances,532198.5863878885
Communication equipment,128403.8810175843
Other electrical machinery,433454.7296041616
Electronic equipment including T.V,251978.55104605295
"Medical precision, optical instrument",260799.16253761936
Watches and clocks,38194.28013275004
Ships and boats,861003.0
Rail equipment,820394.0
Motor vehicles,1490682.0
Motor cycles and scooters,932636.0
"Bicycles, cycle-rickshaw",822563.0
Aircrafts & Spacecrafts,899040.0
Other transport equipment,822188.7890173969
Gems & jewellery,903097.8033797444
Miscellaneous manufacturing,729197.3464793726
Construction and construction services,5739696.132016491
Electricity,638270.7526568009
Gas,170866.27828866657
Water Supply,252170.23145356704
Trade,653464.7673884768
Repair & Maintenance of Motor Vehicle,764044.0
Hotels & Restaurant,833630.0
Railway Transport,106842.0
Land transport,1246158.0
Air transport,173344.0
Water Transport,70444.0
Supportive and Auxiliary transport activities,135536.0
Storage and warehousing,17991.0
Communication services,746031.0
Financial services,773304.0
Insurance services,225907.0
Ownership of dwellings,1207229.0
Real estate services,249559.0
Renting of machinery & equipment,458487.0712239565
Research & Development Services,339564.0
Legal services,119314.0
Other Business services,700503.0
Computer related services,1607341.0
Public administration and defence,1833915.0
Education services,1273996.0
Human health and social care services,695267.0
"Community, social and personal services",568787.3039811425
"Recreation, entertainment and radio & TV broadcasting and other services",301211.0
