Sector_Index,Sector_Code,Tourism_Demand_crore
0,IN,0.0
1,IN.1,0.0
2,IN.2,0.0
3,IN.3,0.0
4,IN.4,0.0
5,IN.5,0.0
6,IN.6,0.0
7,IN.7,0.0
8,IN.8,0.0
9,IN.9,0.0
10,IN.10,0.0
11,IN.11,0.0
12,IN.12,0.0
13,IN.13,0.0
14,IN.14,0.0
15,IN.15,0.0
16,IN.16,0.0
17,IN.17,0.0
18,IN.18,0.0
19,IN.19,0.0
20,IN.20,0.0
21,IN.21,0.0
22,IN.22,0.0
23,IN.23,0.0
24,IN.24,0.0
25,IN.25,0.0
26,IN.26,0.0
27,IN.27,0.0
28,IN.28,0.0
29,IN.29,0.0
30,IN.30,0.0
31,IN.31,0.0
32,IN.32,0.0
33,IN.33,0.0
34,IN.34,0.0
35,IN.35,0.0
36,IN.36,0.0
37,IN.37,0.0
38,IN.38,0.0
39,IN.39,0.0
40,IN.40,1192.6913000778668
41,IN.41,0.0
42,IN.42,40456.59804990209
43,IN.43,28675.016326430476
44,IN.44,0.0
45,IN.45,2372.832358485325
46,IN.46,2883.023108982919
47,IN.47,26841.80508966159
48,IN.48,7546.576014140819
49,IN.49,0.0
50,IN.50,0.0
51,IN.51,0.0
52,IN.52,1770.629958741219
53,IN.53,3136.4487896089818
54,IN.54,0.0
55,IN.55,0.0
56,IN.56,0.0
57,IN.57,0.0
58,IN.58,0.0
59,IN.59,0.0
60,IN.60,0.0
61,IN.61,0.0
62,IN.62,0.0
63,IN.63,0.0
64,IN.64,0.0
65,IN.65,0.0
66,IN.66,0.0
67,IN.67,0.0
68,IN.68,0.0
69,IN.69,0.0
70,IN.70,0.0
71,IN.71,0.0
72,IN.72,0.0
73,IN.73,0.0
74,IN.74,0.0
75,IN.75,0.0
76,IN.76,0.0
77,IN.77,0.0
78,IN.78,0.0
79,IN.79,0.0
80,IN.80,0.0
81,IN.81,0.0
82,IN.82,0.0
83,IN.83,0.0
84,IN.84,0.0
85,IN.85,0.0
86,IN.86,0.0
87,IN.87,0.0
88,IN.88,0.0
89,IN.89,0.0
90,IN.90,0.0
91,IN.91,27489.149285235046
92,IN.92,0.0
93,IN.93,0.0
94,IN.94,0.0
95,IN.95,0.0
96,IN.96,0.0
97,IN.97,0.0
98,IN.98,0.0
99,IN.99,0.0
100,IN.100,0.0
101,IN.101,0.0
102,IN.102,0.0
103,IN.103,961.0077029943064
104,IN.104,0.0
105,IN.105,0.0
106,IN.106,0.0
107,IN.107,0.0
108,IN.108,0.0
109,IN.109,0.0
110,IN.110,0.0
111,IN.111,0.0
112,IN.112,0.0
113,IN.113,129625.62634685967
114,IN.114,2296.122500067362
115,IN.115,27628.07538781155
116,IN.116,0.0
117,IN.117,810.7835703643947
118,IN.118,347.478673013312
119,IN.119,25155.85286710826
120,IN.120,5379.0895697802725
121,IN.121,0.0
122,IN.122,0.0
123,IN.123,0.0
124,IN.124,0.0
125,IN.125,0.0
126,IN.126,435.8211534562951
127,IN.127,0.0
128,IN.128,0.0
129,IN.129,0.0
130,IN.130,0.0
131,IN.131,0.0
132,IN.132,17603.478984202087
133,IN.133,0.0
134,IN.134,0.0
135,IN.135,11717.306143384123
136,IN.136,0.0
137,IN.137,0.0
138,IN.138,0.0
139,IN.139,0.0
140,IN.140,0.0
141,IN.141,0.0
142,IN.142,0.0
143,IN.143,0.0
144,IN.144,0.0
145,IN.145,0.0
146,IN.146,0.0
147,IN.147,0.0
148,IN.148,0.0
149,IN.149,0.0
150,IN.150,0.0
151,IN.151,0.0
152,IN.152,0.0
153,IN.153,0.0
154,IN.154,0.0
155,IN.155,0.0
156,IN.156,0.0
157,IN.157,0.0
158,IN.158,0.0
159,IN.159,0.0
160,IN.160,0.0
161,IN.161,0.0
162,IN.162,0.0
