Year,Value,Absolute_Change,Pct_Change,CAGR_vs_base,Metric
2015,929805.0,0.0,0.0,0.0,Tourism demand (₹ crore nominal)
2019,1405015.4556535687,475210.45565356873,51.109,10.872,Tourism demand (₹ crore nominal)
2022,1499192.4000289366,569387.4000289366,61.237,7.063,Tourism demand (₹ crore nominal)
2015,929805.0,0.0,0.0,0.0,Tourism demand (₹ crore real 2015-16)
2019,1197576.4,267771.3999999999,28.799,6.531,Tourism demand (₹ crore real 2015-16)
2022,1141326.5707179997,211521.5707179997,22.749,2.971,Tourism demand (₹ crore real 2015-16)
2015,144942.3,0.0,0.0,0.0,Tourism demand (USD million nominal)
2019,199547.7,54605.40000000002,37.674,8.321,Tourism demand (USD million nominal)
2022,190615.7,45673.40000000002,31.511,3.991,Tourism demand (USD million nominal)
2015,144942.3,0.0,0.0,0.0,Tourism demand (USD million real 2015-16)
2019,186683.8,41741.5,28.799,6.531,Tourism demand (USD million real 2015-16)
2022,177915.3,32973.0,22.749,2.971,Tourism demand (USD million real 2015-16)
