ID,Category,Category_Type,Inbound_2015,Domestic_2015,Total_2015,NAS_Sector,Real_G15,Nominal_G15,Real_G19,Nominal_G19,Inbound_2019,Domestic_2019,Total_2019,Real_G22,Nominal_G22,Inbound_2022,Domestic_2022,Total_2022
1,Accommodation services/hotels,Characteristic,41373.0,5610.0,46983.0,Hotels,1.0,1.0,1.376946,1.6154546896551725,66836.20687510345,9062.700808965517,75898.90768406897,0.871192,1.1443564522854852,47345.45950040738,6419.839697321572,53765.29919772895
2,Food and beverage serving services/restaurants,Characteristic,73470.0,88588.0,162058.0,Trade,1.0,1.0,1.456896,1.709253286287089,125578.83894351243,151419.33012560065,276998.1690691131,1.319697,1.7334913279871693,127359.60786721733,153566.52976372736,280926.13763094466
3,Railway passenger transport services,Characteristic,2032.0,19096.0,21128.0,Railway,1.0,1.0,0.963149,1.1299815453087412,2296.122500067362,21578.12758921572,23874.250089283083,0.934185,1.2271010665597435,2493.4693672493986,23432.721967024863,25926.19133427426
4,Road passenger transport services,Characteristic,18699.0,183807.0,202506.0,Road,1.0,1.0,1.259373,1.477516198075381,27628.07538781155,271577.8198196416,299205.8952074531,1.243491,1.6333907441860465,30542.77352553488,300228.65251660463,330771.42604213953
5,Water passenger transport services,Characteristic,614.0,924.0,1538.0,Water_Trans,1.0,1.0,1.607906,1.8864205918203691,1158.2622433777067,1743.052626842021,2901.3148702197277,1.612477,2.1180732365677626,1300.4969672526063,1957.0996705886125,3257.596637841219
6,Air passenger transport services,Characteristic,14172.0,57962.0,72134.0,Air,1.0,1.0,1.512969,1.7750390112269447,25155.85286710826,102884.81116873617,128040.66403584443,0.899224,1.1811779566960707,16739.654002296713,68463.43672601765,85203.09072831436
7,Transport equipment rental services,Characteristic,330.0,634.0,964.0,Transport_Svcs,1.0,1.0,1.125684,1.320670161988773,435.8211534562951,837.3048827008821,1273.1260361571772,1.041587,1.3681792349639135,451.49914753809145,867.4256349671211,1318.9247825052125
8,Travel agencies and other reservation services,Characteristic,4073.0,5345.0,9418.0,Transport_Svcs,1.0,1.0,1.125684,1.320670161988773,5379.0895697802725,7058.982015829992,12438.071585610265,1.041587,1.3681792349639135,5572.59402400802,7312.918010882117,12885.512034890136
9,Cultural and religious services,Characteristic,974.0,52.0,1026.0,Real_Estate,1.0,1.0,1.30315,1.5288760625501205,1489.1252849238174,79.50155525260627,1568.6268401764237,1.412789,1.8557725597433843,1807.5224731900562,96.50017310665598,1904.0226462967123
10,Sports and other recreational services,Characteristic,6690.0,209.0,6899.0,Real_Estate,1.0,1.0,1.30315,1.5288760625501205,10228.180858460306,319.5350970729752,10547.715955533282,1.412789,1.8557725597433843,12415.118424683242,387.8564649863673,12802.974889669607
