ID,Category,Category_Type,Inbound_2019,Domestic_2019,Total_2019,NAS_Sector,Real_G19,Nominal_G19
1,Accommodation services/hotels,Characteristic,66836.20687510345,9062.700808965517,75898.90768406897,Hotels,1.376946,1.6154546896551725
2,Food and beverage serving services/restaurants,Characteristic,125578.83894351243,151419.33012560065,276998.1690691131,Trade,1.456896,1.709253286287089
3,Railway passenger transport services,Characteristic,2296.122500067362,21578.12758921572,23874.250089283083,Railway,0.963149,1.1299815453087412
4,Road passenger transport services,Characteristic,27628.07538781155,271577.8198196416,299205.8952074531,Road,1.259373,1.477516198075381
5,Water passenger transport services,Characteristic,1158.2622433777067,1743.052626842021,2901.3148702197277,Water_Trans,1.607906,1.8864205918203691
6,Air passenger transport services,Characteristic,25155.85286710826,102884.81116873617,128040.66403584443,Air,1.512969,1.7750390112269447
7,Transport equipment rental services,Characteristic,435.8211534562951,837.3048827008821,1273.1260361571772,Transport_Svcs,1.125684,1.320670161988773
8,Travel agencies and other reservation services,Characteristic,5379.0895697802725,7058.982015829992,12438.071585610265,Transport_Svcs,1.125684,1.320670161988773
9,Cultural and religious services,Characteristic,1489.1252849238174,79.50155525260627,1568.6268401764237,Real_Estate,1.30315,1.5288760625501205
10,Sports and other recreational services,Characteristic,10228.180858460306,319.5350970729752,10547.715955533282,Real_Estate,1.30315,1.5288760625501205
11,Health and medical related services,Characteristic,17603.478984202087,120979.96282959104,138583.44181379312,Real_Estate,1.30315,1.5288760625501205
12,Readymade garments,Connected,26841.80508966159,67227.0961003737,94068.90119003529,Textiles,1.123494,1.3181008195669608
13,Processed Food,Connected,3975.637666926223,16171.68362797033,20147.321294896552,Food_Mfg,1.188589,1.3944712967121091
14,Alcohol and tobacco products,Connected,5932.080896213312,4865.310354228549,10797.39125044186,Food_Mfg,1.188589,1.3944712967121091
15,Travel related consumer goods,Connected,19220.15405988613,34330.35427535365,53550.50833523978,Other_Mfg,1.098167,1.2883867850842021
16,Footwear,Connected,3702.545202163593,10423.541281135525,14126.08648329912,Textiles,1.123494,1.3181008195669608
17,"Soaps, cosmetics and glycerine",Connected,821.990768883721,1204.641644053729,2026.63241293745,Other_Mfg,1.098167,1.2883867850842021
18,Gems and jewellery,Connected,18018.089189402566,11346.822416236568,29364.911605639136,Other_Mfg,1.098167,1.2883867850842021
19,"Books, journals, magazines, stationery",Connected,2024.0556393672816,1870.7376119422615,3894.793251309543,Other_Mfg,1.098167,1.2883867850842021
20,Vacation homes,Imputed,0.0,6494.665513712912,6494.665513712912,Real_Estate,1.30315,1.5288760625501205
21,Social transfers in kind,Imputed,0.0,6386.115313271854,6386.115313271854,Real_Estate,1.30315,1.5288760625501205
22,FISIM,Imputed,0.0,58723.60880494307,58723.60880494307,Finance,1.166097,1.3680833287890939
23,Producers guest houses,Imputed,0.0,98942.7432639936,98942.7432639936,Real_Estate,1.30315,1.5288760625501205
24,Imputed expenditures on food,Imputed,0.0,35161.593746595834,35161.593746595834,Food_Mfg,1.188589,1.3944712967121091
