Category_ID,Category_Name,Category_Type,Final_Primary_MJ,Emission_MJ,Demand_crore,Energy_pct
AGR_001,Paddy,Agriculture,0.0,0.0,0.0,0.0
MACH_M02,Electrical Machinery,Manufacturing,0.0,0.0,0.0,0.0
CONS_M01,Construction,Manufacturing,0.0,0.0,0.0,0.0
UTIL_M02,Water Supply,Utilities,0.0,0.0,0.0,0.0
UTIL_M01,"Electricity, Heat & Energy",Utilities,0.0,0.0,2078.2000000000003,0.0
MISC_M02,Misc Manufacturing,Manufacturing,0.0,0.0,0.0,0.0
MISC_M01,Gems & Jewellery,Manufacturing,0.0,0.0,0.0,0.0
MACH_M04,Transport Equipment,Manufacturing,0.0,0.0,0.0,0.0
MACH_M03,Electronics,Manufacturing,0.0,0.0,0.0,0.0
MACH_M01,Machinery,Manufacturing,0.0,0.0,0.0,0.0
AGR_002,Wheat,Agriculture,0.0,0.0,0.0,0.0
METAL_M03,Non-Ferrous Metals,Manufacturing,0.0,0.0,0.0,0.0
METAL_M02,Iron & Steel,Manufacturing,0.0,0.0,0.0,0.0
METAL_M01,Cement & Non-Metallic,Manufacturing,0.0,0.0,0.0,0.0
CHEM_M04,Other Chemicals,Manufacturing,0.0,0.0,43068.8,0.0
CHEM_M03,Fertilizers,Manufacturing,0.0,0.0,0.0,0.0
CHEM_M02,Petroleum Products,Manufacturing,0.0,0.0,0.0,0.0
CHEM_M01,Rubber & Plastics,Manufacturing,0.0,0.0,0.0,0.0
SERV_001,Hotels & Restaurants,Services,0.0,0.0,128012.0,0.0
SERV_002,Railway Transport,Services,0.0,0.0,21128.0,0.0
SERV_003,Road Transport,Services,0.0,0.0,202506.0,0.0
SERV_004,Air Transport,Services,0.0,0.0,72134.0,0.0
SERV_M03,Support & Travel Agencies,Services,0.0,0.0,9418.0,0.0
SERV_M02,Pipeline/Water Transport,Services,0.0,0.0,1538.0,0.0
SERV_019,Post & Telecom,Services,0.0,0.0,0.0,0.0
SERV_018,Other Services,Services,0.0,0.0,32358.0,0.0
SERV_017,Cultural & Rec Services,Services,0.0,0.0,7925.0,0.0
SERV_016,Waste Management,Services,0.0,0.0,0.0,0.0
SERV_013,Sewage/Waste Mgmt,Services,0.0,0.0,0.0,0.0
SERV_012,Health & Social Work,Services,0.0,0.0,90644.0,0.0
SERV_011,Defence,Services,0.0,0.0,0.0,0.0
SERV_010,Public Admin & Education,Services,0.0,0.0,4177.0,0.0
SERV_009,Business Services,Services,0.0,0.0,0.0,0.0
SERV_008,Trade (Retail & Wholesale),Services,0.0,0.0,0.0,0.0
SERV_007,Computer & R&D,Services,0.0,0.0,0.0,0.0
SERV_006,Real Estate,Services,0.0,0.0,36606.0,0.0
SERV_005,Financial Services,Services,0.0,0.0,42924.0,0.0
WOOD_M03,Printing/Publishing,Manufacturing,0.0,0.0,5970.200000000001,0.0
WOOD_M02,Paper Products,Manufacturing,0.0,0.0,3287.4000000000005,0.0
WOOD_M01,Wood & Furniture,Manufacturing,0.0,0.0,0.0,0.0
MIN_M01,Coal & Lignite,Mining,0.0,0.0,0.0,0.0
MIN_003,Iron Ore,Mining,0.0,0.0,0.0,0.0
MIN_002,Natural Gas,Mining,0.0,0.0,0.0,0.0
MIN_001,Crude Petroleum,Mining,0.0,0.0,0.0,0.0
AGR_M08,Fishing,Agriculture,0.0,0.0,0.0,0.0
AGR_M07,Forestry,Agriculture,0.0,0.0,0.0,0.0
AGR_M06,Other Livestock,Agriculture,0.0,0.0,0.0,0.0
AGR_M05,Other Crops,Agriculture,0.0,0.0,0.0,0.0
AGR_M04,Fruits & Vegetables,Agriculture,0.0,0.0,0.0,0.0
AGR_M03,Cotton & Jute,Agriculture,0.0,0.0,0.0,0.0
AGR_M02,Oil Seeds,Agriculture,0.0,0.0,0.0,0.0
AGR_M01,Cereals & Pulses,Agriculture,0.0,0.0,0.0,0.0
AGR_006,Egg & Poultry (Live),Agriculture,0.0,0.0,0.0,0.0
AGR_005,Wool/Silk,Agriculture,0.0,0.0,0.0,0.0
AGR_004,Milk (Raw),Agriculture,0.0,0.0,0.0,0.0
AGR_003,Sugarcane,Agriculture,0.0,0.0,0.0,0.0
MIN_004,Copper Ore,Mining,0.0,0.0,0.0,0.0
MIN_M02,Other Metallic Minerals,Mining,0.0,0.0,0.0,0.0
TEXT_M02,Leather (excl. Ftwr),Textiles,0.0,0.0,0.0,0.0
MIN_M03,Non-Metallic Minerals,Mining,0.0,0.0,0.0,0.0
TEXT_M01,Textiles,Textiles,0.0,0.0,6234.6,0.0
TEXT_002,Leather Footwear,Textiles,0.0,0.0,19029.800000000003,0.0
TEXT_001,Ready Made Garments,Textiles,0.0,0.0,71367.0,0.0
FOOD_M07,Processed Tea/Coffee,Food Mfg,0.0,0.0,0.0,0.0
FOOD_M06,Beverages,Food Mfg,0.0,0.0,37057.4,0.0
FOOD_M05,Misc Food Products,Food Mfg,0.0,0.0,0.0,0.0
FOOD_M04,Grain Mill & Bakery,Food Mfg,0.0,0.0,4334.4,0.0
FOOD_M03,Edible Oils,Food Mfg,0.0,0.0,0.0,0.0
FOOD_M02,Processed Fruit/Veg,Food Mfg,0.0,0.0,83946.0,0.0
FOOD_M01,Processed Meat,Food Mfg,0.0,0.0,0.0,0.0
FOOD_005,Tobacco Products,Food Mfg,0.0,0.0,3097.2000000000003,0.0
FOOD_004,Sugar,Food Mfg,0.0,0.0,0.0,0.0
FOOD_003,Dairy Products,Food Mfg,0.0,0.0,0.0,0.0
FOOD_002,Processed Fish,Food Mfg,0.0,0.0,0.0,0.0
FOOD_001,Processed Poultry,Food Mfg,0.0,0.0,0.0,0.0
SERV_M04,Machinery Rental,Services,0.0,0.0,964.0,0.0
