Category_ID,Category_Name,Source_ID,Source_Name,Source_Group,Water_m3,Water_pct
FOOD_M02,Processed Fruit/Veg,12,Sugarcane,Agriculture,1401464889.801815,21.83044833349768
SERV_001,Hotels & Restaurants,2,Wheat,Agriculture,706594061.9247375,11.006529863038928
SERV_001,Hotels & Restaurants,1,Paddy,Agriculture,593744819.72587,9.24869092663495
FOOD_M02,Processed Fruit/Veg,1,Paddy,Agriculture,343162398.37995076,5.3453989909743935
FOOD_M02,Processed Fruit/Veg,2,Wheat,Agriculture,224013573.797115,3.4894322250710403
SERV_001,Hotels & Restaurants,12,Sugarcane,Agriculture,192884462.5170087,3.0045378403361087
SERV_003,Road Transport,71,Petroleum products,Petroleum,191035811.71598348,2.9757416313892207
FOOD_M02,Processed Fruit/Veg,20,Other food crops,Agriculture,135474032.15506926,2.110262541011687
FOOD_M06,Beverages,12,Sugarcane,Agriculture,129693735.00117075,2.020223554456491
SERV_001,Hotels & Restaurants,20,Other food crops,Agriculture,128908267.02251963,2.0079884151744896
SERV_001,Hotels & Restaurants,19,Vegetables,Agriculture,110496415.9639143,1.7211892479718225
FOOD_M06,Beverages,1,Paddy,Agriculture,72562805.3079598,1.1303020030941169
FOOD_M04,Grain Mill & Bakery,1,Paddy,Agriculture,72448206.47942048,1.1285169110638338
SERV_018,Other Services,2,Wheat,Agriculture,71765190.37995715,1.1178776522577214
FOOD_M04,Grain Mill & Bakery,12,Sugarcane,Agriculture,57126952.20970896,0.8898595945850625
FOOD_M02,Processed Fruit/Veg,9,Other oil seeds,Agriculture,56503084.90447687,0.8801416893610841
SERV_004,Air Transport,71,Petroleum products,Petroleum,51358035.32358051,0.7999978770784052
TEXT_001,Ready Made Garments,1,Paddy,Agriculture,50860051.97493108,0.7922408509532836
FOOD_M02,Processed Fruit/Veg,15,Tea,Agriculture,44092585.34506094,0.6868248453957402
FOOD_M02,Processed Fruit/Veg,18,Fruits,Agriculture,43516024.50757858,0.6778438272729411
TEXT_001,Ready Made Garments,2,Wheat,Agriculture,43268076.15680739,0.6739815659346269
FOOD_M06,Beverages,2,Wheat,Agriculture,42725698.0955396,0.6655330087642766
SERV_003,Road Transport,114,Electricity,Electricity,39935640.50620594,0.6220726206413572
FOOD_M02,Processed Fruit/Veg,8,Rapeseed and mustard,Agriculture,37261952.13478409,0.5804249016889028
SERV_003,Road Transport,2,Wheat,Agriculture,36724942.07696899,0.5720599612562111
SERV_003,Road Transport,1,Paddy,Agriculture,35373257.80762086,0.5510049395999934
SERV_018,Other Services,1,Paddy,Agriculture,35082899.371363275,0.5464820615121857
FOOD_M04,Grain Mill & Bakery,2,Wheat,Agriculture,34879843.75448747,0.5433190888360308
SERV_009,Financial Services,114,Electricity,Electricity,34452873.074516244,0.5366682184240376
SERV_015,Health & Social Work,71,Petroleum products,Petroleum,32015053.32116584,0.4986945962811226
SERV_009,Financial Services,71,Petroleum products,Petroleum,31621423.712006044,0.492563075678767
FOOD_M02,Processed Fruit/Veg,114,Electricity,Electricity,30911564.525799096,0.481505685371443
SERV_015,Health & Social Work,114,Electricity,Electricity,30731844.99330182,0.4787062160467017
TEXT_001,Ready Made Garments,20,Other food crops,Agriculture,30438904.743811112,0.47414312136780956
SERV_001,Hotels & Restaurants,18,Fruits,Agriculture,27637704.950045098,0.43050917248004195
FOOD_M02,Processed Fruit/Veg,71,Petroleum products,Petroleum,26408621.719707888,0.4113638923144866
FOOD_M06,Beverages,20,Other food crops,Agriculture,24920510.245863684,0.3881837606674962
FOOD_M02,Processed Fruit/Veg,19,Vegetables,Agriculture,24884417.776690412,0.3876215526598258
SERV_004,Air Transport,114,Electricity,Electricity,24788339.90614752,0.38612495934226104
SERV_001,Hotels & Restaurants,9,Other oil seeds,Agriculture,23060079.98482251,0.3592040645029506
SERV_009,Financial Services,1,Paddy,Agriculture,22595303.07435361,0.3519642910313306
CHEM_M04,Other Chemicals,1,Paddy,Agriculture,21258835.03675121,0.33114629076849417
SERV_015,Health & Social Work,2,Wheat,Agriculture,20979409.2306167,0.32679370893197884
SERV_009,Financial Services,2,Wheat,Agriculture,20817489.52858929,0.32427150540407984
