Category_ID,Category_Name,Category_Type,Total_Water_m3,Green_Water_m3,Scarce_m3,Demand_crore,Water_pct,Scarce_pct
FOOD_M02,Processed Fruit/Veg,Food Mfg,1888268847.0193746,6505715376.444372,1537050841.4737709,132364.16937375735,32.77777590470609,56.99190270968058
SERV_003,Road Transport,Services,692640790.5882431,1003201157.8822327,0.0,299205.8952074531,12.023300946894743,0.0
SERV_001,Hotels & Restaurants,Services,633830131.1137061,715865563.1320595,0.0,214397.9922186255,11.002427981634954,0.0
FOOD_M06,Beverages,Food Mfg,538525646.9729148,1401265085.606958,438359876.6359526,61878.068564087735,9.348071914271193,16.2538302357711
TEXT_001,Ready Made Garments,Textiles,286976604.31576693,693832083.1179804,233598955.91303426,94068.90119003528,4.981523071253213,8.661554067862495
FOOD_M04,Grain Mill & Bakery,Food Mfg,281095334.4324172,671470044.3855903,228811602.2279876,6044.196388468966,4.879432234677782,8.484045043376746
SERV_012,Health & Social Work,Services,274434877.0720981,384562789.5958532,0.0,138583.44181379312,4.763815764531595,0.0
SERV_004,Air Transport,Services,258035013.86362046,320708419.47535145,0.0,128040.66403584444,4.479136471133392,0.0
SERV_018,Other Services,Services,189033644.4670688,431258318.52924603,0.0,49471.3716319968,3.281366658445904,0.0
SERV_002,Railway Transport,Services,179974212.2963586,469881998.70724916,0.0,23874.250089283083,3.1241072523056417,0.0
CHEM_M04,Other Chemicals,Manufacturing,157469826.87895864,289129721.8601284,128180439.07947233,55489.27276943449,2.7334617659655804,4.752768689353784
SERV_006,Real Estate,Services,92893433.86607817,171621343.56412658,0.0,55966.03714570971,1.612503517752366,0.0
SERV_005,Financial Services,Services,80080922.0981582,126307213.233484,0.0,58723.60880494307,1.390095760420456,0.0
TEXT_002,Leather Footwear,Textiles,47613748.185276926,105282838.52750514,38757591.022815414,24836.188150347076,0.8265098322538285,1.437082494106672
TEXT_M01,Textiles,Textiles,43383026.09324731,115982024.9605811,35313783.2399033,8032.576250285967,0.7530702577639289,1.3093904537273315
SERV_M03,Support & Travel Agencies,Services,24978121.20204592,33197406.27559305,0.0,12438.071585610263,0.43358617104423824,0.0
UTIL_M01,"Electricity, Heat & Energy",Utilities,20664482.645051584,16122007.62190843,16820888.873071987,2677.525416761989,0.3587072796309493,0.6236973015318611
WOOD_M03,Printing/Publishing,Manufacturing,19943106.67481478,21669769.701134503,16233688.833299229,7691.926784309704,0.34618517509441277,0.6019246661480102
WOOD_M02,Paper Products,Manufacturing,19738599.61473126,23833400.528561022,16067220.086391244,4235.442717285807,0.3426352110112108,0.5957522153923244
SERV_010,Public Admin & Education,Services,10364152.049917487,16930122.8417162,0.0,6386.115313271854,0.17990756658975374,0.0
FOOD_005,Tobacco Products,Food Mfg,9543809.28536707,35842159.400255464,7768660.758288794,4318.956500176744,0.1656675332682673,0.28805212304908895
SERV_017,Cultural & Rec Services,Services,6109049.929582972,9919926.049918406,0.0,12116.342795709705,0.10604478800707377,0.0
SERV_M04,Machinery Rental,Services,3592327.4776190687,5693374.085691802,0.0,1273.1260361571772,0.06235791329374601,0.0
SERV_M02,Pipeline/Water Transport,Services,1630832.3026874124,2672015.232724782,0.0,2901.3148702197277,0.028309028049698762,0.0
FOOD_003,Dairy Products,Food Mfg,0.0,0.0,0.0,0.0,0.0,0.0
SERV_007,Computer & R&D,Services,0.0,0.0,0.0,0.0,0.0,0.0
MISC_M02,Misc Manufacturing,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0
AGR_M08,Fishing,Agriculture,0.0,0.0,0.0,0.0,0.0,0.0
UTIL_M02,Water Supply,Utilities,0.0,0.0,0.0,0.0,0.0,0.0
CONS_M01,Construction,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0
AGR_M07,Forestry,Agriculture,0.0,0.0,0.0,0.0,0.0,0.0
AGR_M06,Other Livestock,Agriculture,0.0,0.0,0.0,0.0,0.0,0.0
AGR_M05,Other Crops,Agriculture,0.0,0.0,0.0,0.0,0.0,0.0
AGR_M04,Fruits & Vegetables,Agriculture,0.0,0.0,0.0,0.0,0.0,0.0
AGR_M03,Cotton & Jute,Agriculture,0.0,0.0,0.0,0.0,0.0,0.0
