Rank,Year,TSA_Category,Demand_crore,Indirect_m3,Direct_m3,Total_m3,Total_bn_m3,Direct_pct,Indirect_pct,Agr_m3,Elec_m3,Petro_m3,Mfg_m3,Svc_m3,Agr_pct_of_indirect,Elec_pct_of_indirect,Petro_pct_of_indirect,Mfg_pct_of_indirect,Svc_pct_of_indirect,Scarce_indirect_m3,Scarce_total_m3,Has_Direct_TWF
1,2022,Food and beverage serving services/restaurants,394346.42,3280090814,706471200,3986562014,3.986562,17.72,82.28,2494388833,74140491,507863587,203697903,0,76.05,2.26,15.48,6.21,0.0,2702420977,3277488534,True
2,2022,Processed Food,143468.11,2478932074,0,2478932074,2.478932,0.0,100.0,2198015766,32214576,84787523,163914209,0,88.67,1.3,3.42,6.61,0.0,2046424913,2046424913,False
3,2022,Imputed expenditures on food,136999.76,2236637723,0,2236637723,2.236638,0.0,100.0,1962158628,30975514,81502880,162000701,0,87.73,1.38,3.64,7.24,0.0,1846131169,1846131169,False
4,2022,Accommodation services/hotels,194228.37,604447969,1205846520,1810294489,1.810294,66.61,33.39,140166863,26996967,404441138,32843001,0,23.19,4.47,66.91,5.43,0.0,493842816,1475401883,True
5,2022,Road passenger transport services,330771.43,544801642,0,544801642,0.544802,0.0,100.0,356211492,43011861,106476417,39101872,0,65.38,7.89,19.54,7.18,0.0,448099286,448099286,False
6,2022,Railway passenger transport services,25926.19,65180589,395317125,460497714,0.460498,85.85,14.15,57991102,1462902,3347910,2378675,0,88.97,2.24,5.14,3.65,0.0,53810884,375599024,True
7,2022,Alcohol and tobacco products,67740.34,448141241,0,448141241,0.448141,0.0,100.0,399169206,16815507,22673779,9482749,0,89.07,3.75,5.06,2.12,0.0,369976170,369976170,False
8,2022,Travel related consumer goods,132771.72,362723006,0,362723006,0.362723,0.0,100.0,199358103,42985207,77671010,42708686,0,54.96,11.85,21.41,11.77,0.0,297848182,297848182,False
9,2022,Producers guest houses,127981.5,260124945,0,260124945,0.260125,0.0,100.0,228244583,13012229,12606493,6261640,0,87.74,5.0,4.85,2.41,0.0,214708885,214708885,False
10,2022,Readymade garments,113298.99,230235101,0,230235101,0.230235,0.0,100.0,126419639,24995363,31431311,47388787,0,54.91,10.86,13.65,20.58,0.0,189054827,189054827,False
11,2022,"Soaps, cosmetics and glycerine",72304.7,189736851,0,189736851,0.189737,0.0,100.0,108022879,16153858,55807501,9752614,0,56.93,8.51,29.41,5.14,0.0,155850095,155850095,False
12,2022,Gems and jewellery,72304.7,189736851,0,189736851,0.189737,0.0,100.0,108022879,16153858,55807501,9752614,0,56.93,8.51,29.41,5.14,0.0,155850095,155850095,False
13,2022,Air passenger transport services,85203.09,154187602,1404000,155591602,0.155592,0.9,99.1,39891787,7127881,101836075,5331859,0,25.87,4.62,66.05,3.46,0.0,126027301,127170157,True
14,2022,Health and medical related services,168214.65,135348034,0,135348034,0.135348,0.0,100.0,62189125,17876851,22474495,32807564,0,45.95,13.21,16.6,24.24,0.0,110981758,110981758,False
15,2022,Footwear,30969.5,60142923,0,60142923,0.060143,0.0,100.0,41228660,5500428,7554015,5859821,0,68.55,9.15,12.56,9.74,0.0,49492312,49492312,False
16,2022,FISIM,69667.42,54796692,0,54796692,0.054797,0.0,100.0,18627546,5311727,21832637,9024781,0,33.99,9.69,39.84,16.47,0.0,44846665,44846665,False
17,2022,"Books, journals, magazines, stationery",15541.83,45298405,0,45298405,0.045298,0.0,100.0,11797080,5229018,4334754,23937552,0,26.04,11.54,9.57,52.84,0.0,37026263,37026263,False
18,2022,Vacation homes,67932.41,38609052,0,38609052,0.038609,0.0,100.0,15758071,10520638,8711335,3619008,0,40.81,27.25,22.56,9.37,0.0,31632623,31632623,False
19,2022,Travel agencies and other reservation services,12885.51,31856673,0,31856673,0.031857,0.0,100.0,11682961,1930953,16817999,1424760,0,36.67,6.06,52.79,4.47,0.0,26083211,26083211,False
20,2022,Social transfers in kind,7751.56,6634185,0,6634185,0.006634,0.0,100.0,3107194,791519,1275065,1460407,0,46.84,11.93,19.22,22.01,0.0,5440620,5440620,False
21,2022,Cultural and religious services,14707.0,4537955,0,4537955,0.004538,0.0,100.0,1757729,579109,1142673,1058443,0,38.73,12.76,25.18,23.32,0.0,3716746,3716746,False
22,2022,Sports and other recreational services,14707.0,4537955,0,4537955,0.004538,0.0,100.0,1757729,579109,1142673,1058443,0,38.73,12.76,25.18,23.32,0.0,3716746,3716746,False
23,2022,Transport equipment rental services,1318.92,1564128,0,1564128,0.001564,0.0,100.0,908039,245928,287567,122595,0,58.05,15.72,18.39,7.84,0.0,1285005,1285005,False
24,2022,Water passenger transport services,3257.6,1087683,0,1087683,0.001088,0.0,100.0,546203,188727,220888,131865,0,50.22,17.35,20.31,12.12,0.0,892475,892475,False
