Category_ID,Category_Name,Source_ID,Source_Name,Source_Group,Water_m3,WSI_weight,Scarce_m3,Water_pct,Scarce_pct
FOOD_M02,Processed Fruit/Veg,1,Paddy,Agriculture,724937656.4749273,0.827,599523441.9047649,13.46316757664076,13.523980758735108
SERV_001,Hotels & Restaurants,71,Petroleum products,Petroleum,402828262.30176514,0.814,327902205.5136368,7.4811183438133835,7.39678018931854
FOOD_M02,Processed Fruit/Veg,9,Other oil seeds,Agriculture,325324687.1163842,0.827,269043516.24524975,6.041761992008739,6.069052655227419
FOOD_M02,Processed Fruit/Veg,8,Rapeseed and mustard,Agriculture,271684288.71284014,0.827,224682906.76551878,5.045580229157157,5.06837113534626
FOOD_M02,Processed Fruit/Veg,2,Wheat,Agriculture,245638751.572911,0.827,203143247.55079737,4.561875971271618,4.582481983382328
FOOD_M06,Beverages,1,Paddy,Agriculture,220878207.06033266,0.827,182666277.2388951,4.102035932498237,4.120564845304268
SERV_003,Road Transport,1,Paddy,Agriculture,192736716.68602067,0.827,159393264.6993391,3.5794067141347,3.5955749086592994
FOOD_M02,Processed Fruit/Veg,44,Processed fruits & Processed Vegetables,Manufacturing,138944592.84446627,0.814,113100898.57539554,2.5804071848457877,2.5513170448675724
FOOD_M04,Grain Mill & Bakery,1,Paddy,Agriculture,133323972.17062217,0.827,110258924.98510453,2.4760239218978355,2.487208131911948
FOOD_M02,Processed Fruit/Veg,20,Other food crops,Agriculture,110518777.26334243,0.827,91399028.79678418,2.0524976256537935,2.061768765684292
SERV_003,Road Transport,71,Petroleum products,Petroleum,103619359.31844766,0.814,84346158.4852164,1.924365200549714,1.902670929435466
SERV_018,Other Services,1,Paddy,Agriculture,103228504.23184992,0.827,85369972.99973989,1.9171064418384676,1.925766019347111
SERV_004,Air Transport,71,Petroleum products,Petroleum,101462368.15098372,0.814,82590367.67490074,1.8843066751171818,1.8630640025409464
FOOD_M02,Processed Fruit/Veg,71,Petroleum products,Petroleum,80240610.0385237,0.814,65315856.57135829,1.4901871488557312,1.4733875704758013
SERV_018,Other Services,2,Wheat,Agriculture,79944311.48537287,0.827,66113945.598403364,1.484684445225762,1.4913907708364467
SERV_001,Hotels & Restaurants,1,Paddy,Agriculture,76518550.75800547,0.827,63280841.47687052,1.4210629871071532,1.4274819343356218
SERV_003,Road Transport,2,Wheat,Agriculture,68913454.01144518,0.827,56991426.46746516,1.279825059926793,1.2856060348701104
TEXT_001,Ready Made Garments,1,Paddy,Agriculture,68334790.375434,0.827,56512871.64048391,1.2690784178775865,1.2748108501955426
FOOD_M06,Beverages,2,Wheat,Agriculture,62040819.08568089,0.827,51307757.38385809,1.1521900352150662,1.1573944822383953
