Category_ID,Category_Name,Category_Type,Total_Water_m3,Green_Water_m3,Scarce_m3,Demand_crore,Water_pct,Scarce_pct,Intensity_m3_per_crore,Scarce_Intensity_m3_per_crore
FOOD_M02,Processed Fruit/Veg,Food Mfg,2236637722.9114013,7774673941.00336,1820623106.4498806,136999.75863168403,41.537680106473914,63.540277207576935,16325.851558063494,13289.243168263683
SERV_001,Hotels & Restaurants,Services,604447968.9772478,484215564.3680391,0.0,194228.36801320128,11.22549535814091,0.0,3112.0478185563748,0.0
SERV_003,Road Transport,Services,544801642.0118217,1219317133.944608,0.0,330771.42604213953,10.117774593335513,0.0,1647.0638003127128,0.0
FOOD_M06,Beverages,Food Mfg,439005121.89261353,1251881159.834474,357350169.2205874,63118.29262328661,8.152976287345446,12.471625089240138,6955.275620536173,5661.594355116445
FOOD_M04,Grain Mill & Bakery,Food Mfg,242294350.9104557,658778898.4739133,197227601.6411109,6468.353643475862,4.4997654902393505,6.8833007978780865,37458.426713394016,30491.15934470272
TEXT_001,Ready Made Garments,Textiles,230235100.7934301,440745171.47682446,187411372.0458521,113298.98978269128,4.275807328149097,6.540711523136759,2032.1019740336924,1654.1310068634257
SERV_018,Other Services,Services,221515893.08951437,556561371.3823272,0.0,60049.08848817643,4.113878707936202,0.0,3688.9134983810873,0.0
CHEM_M04,Other Chemicals,Manufacturing,189736851.47938284,378025780.3141408,154445797.10421762,72304.70444689656,3.523694767564444,5.39020334674486,2624.1287192970008,2136.040777507759
SERV_004,Air Transport,Services,154187601.86227956,133726506.00975004,0.0,85203.09072831436,2.8634924721751336,0.0,1809.6479898121881,0.0
SERV_012,Health & Social Work,Services,135348034.06973383,217068557.05601424,0.0,168214.64790537933,2.513613753643839,0.0,804.6150305879845,0.0
SERV_002,Railway Transport,Services,65180589.37650825,312411480.9822039,0.0,25926.19133427426,1.2105002267191398,0.0,2514.082710264501,0.0
TEXT_002,Leather Footwear,Textiles,60142923.34071801,173062968.32729188,48956339.599344455,30969.503371688857,1.1169432960931456,1.708590524963908,1942.0047722075642,1580.791884576957
SERV_005,Financial Services,Services,54796691.63067004,70069203.68148735,0.0,69667.42320877626,1.0176558432024763,0.0,786.5468407875188,0.0
TEXT_M01,Textiles,Textiles,48414438.93283689,120521203.6645565,39409353.29132923,10466.762722542104,0.8991279438445995,1.3753979194437558,4625.540887495947,3765.1902824217
SERV_006,Real Estate,Services,38609051.956661314,60819632.60017845,0.0,67932.41032196632,0.7170273634223043,0.0,568.3450914471213,0.0
SERV_M03,Support & Travel Agencies,Services,31856673.416041106,38173749.11263108,0.0,12885.512034890136,0.5916256781583149,0.0,2472.2861869813714,0.0
WOOD_M03,Printing/Publishing,Wood & Paper,26203508.097313065,24270830.26134803,21329655.591212835,10022.883072870893,0.48663801288158126,0.7444111986750269,2614.3683316269094,2128.095821944304
UTIL_M01,"Electricity, Heat & Energy",Utilities,19130387.419053033,12596025.553459477,15572135.359109167,3488.9209075140348,0.35527967036663244,0.5434720640018119,5483.181741911149,4463.309937915675
WOOD_M02,Paper Products,Wood & Paper,19094896.417938624,14920533.512992106,15543245.684202038,5518.948412742584,0.3546205498323378,0.54246380592493,3459.8794896960476,2816.3419046125823
FOOD_005,Tobacco Products,Food Mfg,9136119.141953353,36589072.69485111,7436800.981550029,4622.043398065117,0.16967128401961767,0.2595465224137961,1976.6407095567129,1608.9855375791642
SERV_010,Public Admin & Education,Services,6634184.659370635,10762125.701734493,0.0,7751.561982048116,0.12320664957287317,0.0,855.8513335421659,0.0
SERV_017,Cultural & Rec Services,Services,4537954.862668048,6269776.95511354,0.0,14706.99753596632,0.08427655292237504,0.0,308.5575319891343,0.0
SERV_M04,Machinery Rental,Services,1564127.9817910693,2986494.806086123,0.0,1318.9247825052123,0.029048176683996542,0.0,1185.911435237504,0.0
SERV_M02,Pipeline/Water Transport,Services,1087683.0329954647,1830746.0807367498,0.0,3257.5966378412195,0.020199887276780324,0.0,333.8912560139007,0.0
MISC_M01,Gems & Jewellery,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACH_M04,Transport Equipment,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERV_019,Post & Telecom,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METAL_M01,Cement & Non-Metallic,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METAL_M02,Iron & Steel,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERV_013,Sewage/Waste Mgmt,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERV_009,Business Services,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERV_008,Trade (Retail & Wholesale),Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METAL_M03,Non-Ferrous Metals,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERV_007,Computer & R&D,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACH_M01,Machinery,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
