Category_Name,Category_Type,Demand_crore,WL_m3_per_crore,Multiplier_Ratio,Above_Economy_Avg,Scarce_m3
Grain Mill & Bakery,Food Mfg,4334.4,41902.03199564961,3.832525925131647,True,147838816.33030212
Processed Fruit/Veg,Food Mfg,83946.0,29159.76182131641,2.667067390967148,True,1992546127.8037128
Railway Transport,Services,21128.0,14690.7887900642,1.343677769717706,True,0.0
Beverages,Food Mfg,37057.4,8499.521331928212,0.7773999088923976,False,256385711.70991835
"Electricity, Heat & Energy",Utilities,2078.2000000000003,6003.691989826163,0.5491214650378499,False,10156174.372310981
Textiles,Textiles,6234.6,5937.9488605511915,0.5431083378613023,False,30134879.07631786
Other Services,Services,32358.0,4351.4948426908895,0.39800496547329656,False,0.0
Machinery Rental,Services,964.0,3838.744447794667,0.35110678206860424,False,0.0
Paper Products,Manufacturing,3287.4000000000005,3782.78579255658,0.34598858166825763,False,10122521.431762708
Support & Travel Agencies,Services,9418.0,3292.741667760575,0.30116720372329,False,0.0
Hotels & Restaurants,Services,128012.0,3229.8831439808223,0.2954179139984761,False,0.0
Ready Made Garments,Textiles,71367.0,3047.4889082420573,0.2787354142777952,False,177036974.70441186
Printing/Publishing,Manufacturing,5970.200000000001,2959.1976123992563,0.2706599424172388,False,14380939.290634478
Other Chemicals,Manufacturing,43068.8,2815.168696697606,0.25748648692819504,False,98694193.17736448
Tobacco Products,Food Mfg,3097.2000000000003,2190.861248096242,0.2003848532349667,False,5523425.862489396
Air Transport,Services,72134.0,2074.8870181099815,0.18977739049627013,False,0.0
Public Admin & Education,Services,4177.0,2060.1053184208317,0.18842539765539648,False,0.0
Road Transport,Services,202506.0,1964.84395429435,0.17971241572373137,False,0.0
Leather Footwear,Textiles,19029.800000000003,1874.7282233516592,0.17147007379778595,False,29040022.35981625
Health & Social Work,Services,90644.0,1833.0892577547845,0.1676616089681506,False,0.0
Real Estate,Services,36606.0,1683.9691363247318,0.15402249162418044,False,0.0
Financial Services,Services,42924.0,1408.3253002840565,0.12881101386486069,False,0.0
Pipeline/Water Transport,Services,1538.0,738.2599052590939,0.06752417702999385,False,0.0
Cultural & Rec Services,Services,7925.0,410.7929803164886,0.03757275415875996,False,0.0
