Year,Parameter,SpearmanRank_corr,Variance_share_pct,Stressor
2015,agr_water_mult,0.9601,92.17,water
2015,hotel_coeff_mult,0.2119,4.49,water
2015,rest_coeff_mult,0.0495,0.25,water
2015,dom_tourist_mult,0.0839,0.7,water
2015,inb_tourist_mult,0.0071,0.01,water
2015,rail_coeff_mult,0.048,0.23,water
2015,air_coeff_mult,0.0021,0.0,water
2019,agr_water_mult,0.9114,83.07,water
2019,hotel_coeff_mult,0.3345,11.19,water
2019,rest_coeff_mult,0.0816,0.67,water
2019,dom_tourist_mult,0.1475,2.18,water
2019,inb_tourist_mult,0.0016,0.0,water
2019,rail_coeff_mult,0.0752,0.57,water
2019,air_coeff_mult,0.0113,0.01,water
2022,agr_water_mult,0.9407,88.5,water
2022,hotel_coeff_mult,0.2579,6.65,water
2022,rest_coeff_mult,0.1032,1.06,water
2022,dom_tourist_mult,0.1437,2.07,water
2022,inb_tourist_mult,0.0047,0.0,water
2022,rail_coeff_mult,0.0625,0.39,water
2022,air_coeff_mult,-0.0139,0.02,water
