Year,Country,Dest_share,Local_EF_MJ_yr,Carbon_intensity,Tourists_M,Avg_stay_days,Outbound_MJ,Outbound_GJ,Outbound_TJ,Share_pct
2015,UAE,0.22,450000.0,0.62,4.4,7.0,56958904110,56958904.11,56958.9041,35.5
2015,Saudi Arabia,0.2,420000.0,0.58,4.0,7.0,48328767123,48328767.12,48328.7671,30.12
2015,USA,0.1,310000.0,0.45,2.0,7.0,17835616438,17835616.44,17835.6164,11.12
2015,UK,0.08,150000.0,0.22,1.6,7.0,6904109589,6904109.59,6904.1096,4.3
2015,Thailand,0.07,80000.0,0.51,1.4,7.0,3221917808,3221917.81,3221.9178,2.01
2015,Singapore,0.06,180000.0,0.4,1.2,7.0,6213698630,6213698.63,6213.6986,3.87
2015,Malaysia,0.05,130000.0,0.48,1.0,7.0,3739726027,3739726.03,3739.726,2.33
2015,Germany,0.04,170000.0,0.3,0.8,7.0,3912328767,3912328.77,3912.3288,2.44
2015,France,0.04,160000.0,0.18,0.8,7.0,3682191781,3682191.78,3682.1918,2.29
2015,Other,0.14,120000.0,0.45,2.8,7.0,9665753425,9665753.42,9665.7534,6.02
,TOTAL,,,,,,160463013698,,,100.0
2019,UAE,0.22,450000.0,0.62,5.918,7.0,76609726027,76609726.03,76609.726,35.5
2019,Saudi Arabia,0.2,420000.0,0.58,5.38,7.0,65002191781,65002191.78,65002.1918,30.12
2019,USA,0.1,310000.0,0.45,2.69,7.0,23988904110,23988904.11,23988.9041,11.12
2019,UK,0.08,150000.0,0.22,2.152,7.0,9286027397,9286027.4,9286.0274,4.3
2019,Thailand,0.07,80000.0,0.51,1.883,7.0,4333479452,4333479.45,4333.4795,2.01
2019,Singapore,0.06,180000.0,0.4,1.614,7.0,8357424658,8357424.66,8357.4247,3.87
2019,Malaysia,0.05,130000.0,0.48,1.345,7.0,5029931507,5029931.51,5029.9315,2.33
2019,Germany,0.04,170000.0,0.3,1.076,7.0,5262082192,5262082.19,5262.0822,2.44
2019,France,0.04,160000.0,0.18,1.076,7.0,4952547945,4952547.95,4952.5479,2.29
2019,Other,0.14,120000.0,0.45,3.766,7.0,13000438356,13000438.36,13000.4384,6.02
,TOTAL,,,,,,215822753425,,,100.0
2022,UAE,0.22,450000.0,0.62,1.54,6.5,18511643836,18511643.84,18511.6438,35.5
2022,Saudi Arabia,0.2,420000.0,0.58,1.4,6.5,15706849315,15706849.32,15706.8493,30.12
2022,USA,0.1,310000.0,0.45,0.7,6.5,5796575342,5796575.34,5796.5753,11.12
2022,UK,0.08,150000.0,0.22,0.56,6.5,2243835616,2243835.62,2243.8356,4.3
2022,Thailand,0.07,80000.0,0.51,0.49,6.5,1047123288,1047123.29,1047.1233,2.01
2022,Singapore,0.06,180000.0,0.4,0.42,6.5,2019452055,2019452.05,2019.4521,3.87
2022,Malaysia,0.05,130000.0,0.48,0.35,6.5,1215410959,1215410.96,1215.411,2.33
2022,Germany,0.04,170000.0,0.3,0.28,6.5,1271506849,1271506.85,1271.5068,2.44
2022,France,0.04,160000.0,0.18,0.28,6.5,1196712329,1196712.33,1196.7123,2.29
2022,Other,0.14,120000.0,0.45,0.98,6.5,3141369863,3141369.86,3141.3699,6.02
,TOTAL,,,,,,52150479452,,,100.0
