Year,Country,Dest_share,Local_WF_m3_yr,WSI_dest,Tourists_M,Avg_stay_days,Outbound_m3,Outbound_bn_m3,Scarce_m3
2015,UAE,0.3,5765.0,1.0,6.0,7.0,995054795,0.99505,995054794.5205481
2015,USA,0.12,2842.0,0.35,2.4,7.0,196214795,0.19621,68675178.08219178
2015,UK,0.08,1695.0,0.18,1.6,7.0,78016438,0.07802,14042958.904109588
2015,Saudi Arabia,0.07,2671.0,1.0,1.4,7.0,107571781,0.10757,107571780.82191783
2015,Thailand,0.06,3307.0,0.55,1.2,7.0,114159452,0.11416,62787698.63013699
2015,Singapore,0.05,600.0,0.1,1.0,7.0,17260274,0.01726,1726027.397260274
2015,Germany,0.03,1545.0,0.12,0.6,7.0,26667123,0.02667,3200054.7945205476
2015,Malaysia,0.03,2507.0,0.04,0.6,7.0,43271507,0.04327,1730860.2739726026
2015,Australia,0.02,2315.0,0.08,0.4,7.0,26638356,0.02664,2131068.493150685
2015,Canada,0.02,2333.0,0.07,0.4,7.0,26845479,0.02685,1879183.561643836
2015,Others,0.22,2000.0,0.4,4.4,7.0,253150685,0.25315,101260273.97260275
2019,UAE,0.3,5765.0,1.0,8.07,7.0,1338348699,1.33835,1338348698.630137
2019,USA,0.12,2842.0,0.35,3.228,7.0,263908899,0.26391,92368114.52054796
2019,UK,0.08,1695.0,0.18,2.152,7.0,104932110,0.10493,18887779.726027396
2019,Saudi Arabia,0.07,2671.0,1.0,1.883,7.0,144684045,0.14468,144684045.20547947
2019,Thailand,0.06,3307.0,0.55,1.614,7.0,153544463,0.15354,84449454.65753426
2019,Singapore,0.05,600.0,0.1,1.345,7.0,23215068,0.02322,2321506.8493150687
2019,Germany,0.03,1545.0,0.12,0.807,7.0,35867281,0.03587,4304073.698630136
2019,Malaysia,0.03,2507.0,0.04,0.807,7.0,58200177,0.0582,2328007.0684931506
2019,Australia,0.02,2315.0,0.08,0.538,7.0,35828589,0.03583,2866287.1232876712
2019,Canada,0.02,2333.0,0.07,0.538,7.0,36107170,0.03611,2527501.8904109593
2019,Others,0.22,2000.0,0.4,5.918,7.0,340487671,0.34049,136195068.49315068
2022,UAE,0.3,5765.0,1.0,2.1,6.5,323392808,0.32339,323392808.2191781
2022,USA,0.12,2842.0,0.35,0.84,6.5,63769808,0.06377,22319432.87671233
2022,UK,0.08,1695.0,0.18,0.56,6.5,25355342,0.02536,4563961.643835617
2022,Saudi Arabia,0.07,2671.0,1.0,0.49,6.5,34960829,0.03496,34960828.76712329
2022,Thailand,0.06,3307.0,0.55,0.42,6.5,37101822,0.0371,20406002.054794524
2022,Singapore,0.05,600.0,0.1,0.35,6.5,5609589,0.00561,560958.904109589
2022,Germany,0.03,1545.0,0.12,0.21,6.5,8666815,0.00867,1040017.808219178
2022,Malaysia,0.03,2507.0,0.04,0.21,6.5,14063240,0.01406,562529.5890410958
2022,Australia,0.02,2315.0,0.08,0.14,6.5,8657466,0.00866,692597.2602739726
2022,Canada,0.02,2333.0,0.07,0.14,6.5,8724781,0.00872,610734.6575342466
2022,Others,0.22,2000.0,0.4,1.54,6.5,82273973,0.08227,32909589.04109589
