Year,Scope,Country,Dest_share,local_wf_m3_yr,Tourists_M,Avg_stay_days,Footprint,Footprint_bn_m3,WSI_dest,Scarce_m3
2015,tourism,UAE,0.28,3139.0,2.43,9.4,294710304,0.29471,1.0,294710304.0
2015,tourism,Saudi Arabia,0.11,1862.0,0.955,9.4,68678110,0.06868,1.0,68678110.02739726
2015,tourism,USA,0.08,2847.0,0.694,9.4,76370112,0.07637,0.52,39712458.24
2015,tourism,Singapore,0.05,2000.0,0.434,9.4,33530959,0.03353,0.1,3353095.8904109593
2015,tourism,UK,0.04,1247.0,0.347,9.4,16725242,0.01673,0.26,4348562.998356164
2015,tourism,Thailand,0.04,1424.0,0.347,9.4,19099234,0.0191,0.72,13751448.61808219
2015,tourism,Qatar,0.04,1800.0,0.347,9.4,24142290,0.02414,1.0,24142290.410958905
2015,tourism,Kuwait,0.04,2081.0,0.347,9.4,27911170,0.02791,1.0,27911170.19178082
2015,tourism,Oman,0.03,2100.0,0.26,9.4,21124504,0.02112,1.0,21124504.10958904
2015,tourism,Canada,0.04,2336.0,0.347,9.4,31331328,0.03133,0.25,7832832.0
2015,tourism,Australia,0.02,2300.0,0.174,9.4,15424241,0.01542,0.58,8946059.835616438
2015,tourism,Malaysia,0.01,2117.0,0.087,9.4,7098504,0.0071,0.21,1490685.8399999999
2015,tourism,Germany,0.01,1424.0,0.087,9.4,4774809,0.00477,0.41,1957671.504657534
2015,tourism,Others,0.21,2000.0,1.823,9.4,140830027,0.14083,0.2,28166005.47945205
2019,tourism,UAE,0.28,3139.0,3.186,9.4,386382864,0.38638,1.0,386382864.00000006
2019,tourism,Saudi Arabia,0.11,1862.0,1.252,9.4,90041117,0.09004,1.0,90041116.60273972
2019,tourism,USA,0.08,2847.0,0.91,9.4,100125792,0.10013,0.52,52065411.84
2019,tourism,Singapore,0.05,2000.0,0.569,9.4,43961096,0.04396,0.1,4396109.589041096
2019,tourism,UK,0.04,1247.0,0.455,9.4,21927795,0.02193,0.26,5701226.603835616
2019,tourism,Thailand,0.04,1424.0,0.455,9.4,25040240,0.02504,0.72,18028972.95780822
2019,tourism,Qatar,0.04,1800.0,0.455,9.4,31651989,0.03165,1.0,31651989.04109589
2019,tourism,Kuwait,0.04,2081.0,0.455,9.4,36593216,0.03659,1.0,36593216.21917808
2019,tourism,Oman,0.03,2100.0,0.341,9.4,27695490,0.0277,1.0,27695490.4109589
2019,tourism,Canada,0.04,2336.0,0.455,9.4,41077248,0.04108,0.25,10269312.0
2019,tourism,Australia,0.02,2300.0,0.228,9.4,20222104,0.02022,0.58,11728820.383561643
2019,tourism,Malaysia,0.01,2117.0,0.114,9.4,9306564,0.00931,0.21,1954378.44
2019,tourism,Germany,0.01,1424.0,0.114,9.4,6260060,0.00626,0.41,2566624.622465753
2019,tourism,Others,0.21,2000.0,2.39,9.4,184636603,0.18464,0.2,36927320.5479452
2022,tourism,UAE,0.28,3139.0,1.442,9.2,171136560,0.17114,1.0,171136560.00000003
2022,tourism,Saudi Arabia,0.11,1862.0,0.567,9.2,39880979,0.03988,1.0,39880979.17808219
2022,tourism,USA,0.08,2847.0,0.412,9.2,44347680,0.04435,0.52,23060793.599999998
2022,tourism,Singapore,0.05,2000.0,0.258,9.2,19471233,0.01947,0.1,1947123.2876712326
2022,tourism,UK,0.04,1247.0,0.206,9.2,9712251,0.00971,0.26,2525185.249315068
2022,tourism,Thailand,0.04,1424.0,0.206,9.2,11090814,0.01109,0.72,7985386.257534245
2022,tourism,Qatar,0.04,1800.0,0.206,9.2,14019288,0.01402,1.0,14019287.671232875
2022,tourism,Kuwait,0.04,2081.0,0.206,9.2,16207854,0.01621,1.0,16207854.24657534
2022,tourism,Oman,0.03,2100.0,0.154,9.2,12266877,0.01227,1.0,12266876.712328766
2022,tourism,Canada,0.04,2336.0,0.206,9.2,18193920,0.01819,0.25,4548480.0
2022,tourism,Australia,0.02,2300.0,0.103,9.2,8956767,0.00896,0.58,5194924.931506848
2022,tourism,Malaysia,0.01,2117.0,0.051,9.2,4122060,0.00412,0.21,865632.5999999997
2022,tourism,Germany,0.01,1424.0,0.051,9.2,2772704,0.00277,0.41,1136808.4602739722
2022,tourism,Others,0.21,2000.0,1.081,9.2,81779178,0.08178,0.2,16355835.616438357
