Year,Scope,Country,Dest_share,local_wf_m3_yr,Tourists_M,Avg_stay_days,Footprint,Footprint_bn_m3,WSI_dest,Scarce_m3
2015,all_INDs,UAE,0.28,3139.0,5.746,70.6,5232747744,5.23275,1.0,5232747744.000001
2015,all_INDs,Saudi Arabia,0.11,1862.0,2.257,70.6,1219418597,1.21942,1.0,1219418596.6027398
2015,all_INDs,USA,0.08,2847.0,1.642,70.6,1355994432,1.35599,0.52,705117104.6399999
2015,all_INDs,Singapore,0.05,2000.0,1.026,70.6,595361096,0.59536,0.1,59536109.58904109
2015,all_INDs,UK,0.04,1247.0,0.821,70.6,296966115,0.29697,0.26,77211189.80383562
2015,all_INDs,Thailand,0.04,1424.0,0.821,70.6,339117680,0.33912,0.72,244164729.75780818
2015,all_INDs,Qatar,0.04,1800.0,0.821,70.6,428659989,0.42866,1.0,428659989.04109585
2015,all_INDs,Kuwait,0.04,2081.0,0.821,70.6,495578576,0.49558,1.0,495578576.219178
2015,all_INDs,Oman,0.03,2100.0,0.616,70.6,375077490,0.37508,1.0,375077490.4109589
2015,all_INDs,Canada,0.04,2336.0,0.821,70.6,556305408,0.55631,0.25,139076352.0
2015,all_INDs,Australia,0.02,2300.0,0.41,70.6,273866104,0.27387,0.58,158842340.3835616
2015,all_INDs,Malaysia,0.01,2117.0,0.205,70.6,126037944,0.12604,0.21,26467968.23999999
2015,all_INDs,Germany,0.01,1424.0,0.205,70.6,84779420,0.08478,0.41,34759562.222465746
2015,all_INDs,Others,0.21,2000.0,4.309,70.6,2500516603,2.50052,0.2,500103320.54794526
2019,all_INDs,UAE,0.28,3139.0,7.538,70.6,6864793824,6.86479,1.0,6864793824.0
2019,all_INDs,Saudi Arabia,0.11,1862.0,2.961,70.6,1599744085,1.59974,1.0,1599744084.8219178
2019,all_INDs,USA,0.08,2847.0,2.154,70.6,1778916672,1.77892,0.52,925036669.44
2019,all_INDs,Singapore,0.05,2000.0,1.346,70.6,781048767,0.78105,0.1,78104876.71232875
2019,all_INDs,UK,0.04,1247.0,1.077,70.6,389587125,0.38959,0.26,101292652.51068494
2019,all_INDs,Thailand,0.04,1424.0,1.077,70.6,444885378,0.44489,0.72,320317471.98246574
2019,all_INDs,Qatar,0.04,1800.0,1.077,70.6,562355112,0.56236,1.0,562355112.3287671
2019,all_INDs,Kuwait,0.04,2081.0,1.077,70.6,650144994,0.65014,1.0,650144993.7534246
2019,all_INDs,Oman,0.03,2100.0,0.808,70.6,492060723,0.49206,1.0,492060723.2876711
2019,all_INDs,Canada,0.04,2336.0,1.077,70.6,729811968,0.72981,0.25,182452992.0
2019,all_INDs,Australia,0.02,2300.0,0.538,70.6,359282433,0.35928,0.58,208383811.06849313
2019,all_INDs,Malaysia,0.01,2117.0,0.269,70.6,165348024,0.16535,0.21,34723085.04
2019,all_INDs,Germany,0.01,1424.0,0.269,70.6,111221344,0.11122,0.41,45600751.219726026
2019,all_INDs,Others,0.21,2000.0,5.653,70.6,3280404822,3.2804,0.2,656080964.3835616
2022,all_INDs,UAE,0.28,3139.0,6.048,99.7,7778514240,7.77851,1.0,7778514240.000002
2022,all_INDs,Saudi Arabia,0.11,1862.0,2.376,99.7,1812673835,1.81267,1.0,1812673834.5205479
2022,all_INDs,USA,0.08,2847.0,1.728,99.7,2015694720,2.01569,0.52,1048161254.4000001
2022,all_INDs,Singapore,0.05,2000.0,1.08,99.7,885008219,0.88501,0.1,88500821.91780822
2022,all_INDs,UK,0.04,1247.0,0.864,99.7,441442100,0.44144,0.26,114774945.92876713
2022,all_INDs,Thailand,0.04,1424.0,0.864,99.7,504100682,0.5041,0.72,362952490.78356165
2022,all_INDs,Qatar,0.04,1800.0,0.864,99.7,637205918,0.63721,1.0,637205917.8082192
2022,all_INDs,Kuwait,0.04,2081.0,0.864,99.7,736680842,0.73668,1.0,736680841.6438355
2022,all_INDs,Oman,0.03,2100.0,0.648,99.7,557555178,0.55756,1.0,557555178.0821917
2022,all_INDs,Canada,0.04,2336.0,0.864,99.7,826951680,0.82695,0.25,206737920.0
2022,all_INDs,Australia,0.02,2300.0,0.432,99.7,407103781,0.4071,0.58,236120192.8767123
2022,all_INDs,Malaysia,0.01,2117.0,0.216,99.7,187356240,0.18736,0.21,39344810.4
2022,all_INDs,Germany,0.01,1424.0,0.216,99.7,126025170,0.12603,0.41,51670319.86849315
2022,all_INDs,Others,0.21,2000.0,4.536,99.7,3717034521,3.71703,0.2,743406904.1095891
