Rank,Product_ID,Product_Name,Source_Group,Dependency_Index,Tourism_Water_m3
1,32,Product 32,Mining,13.6793,0
2,120,Product 120,Services,6.4658,0
3,71,Product 71,Petroleum,5.1015,427065700
4,118,Product 118,Services,4.8455,0
5,127,Product 127,Services,4.3049,0
6,74,Product 74,Petroleum,3.8467,9477
7,126,Product 126,Services,3.0075,0
8,114,Product 114,Electricity,2.9959,365019722
9,132,Product 132,Services,2.817,0
10,44,Product 44,Manufacturing,2.6698,13847649
11,122,Product 122,Services,2.582,0
12,113,Product 113,Manufacturing,2.5742,0
13,61,Product 61,Manufacturing,2.5342,13226871
14,134,Product 134,Services,2.3356,0
15,30,Product 30,Mining,1.9094,0
16,81,Product 81,Manufacturing,1.7567,4328
17,119,Product 119,Services,1.4802,0
18,73,Product 73,Petroleum,1.398,3444
19,66,Product 66,Manufacturing,1.3826,50951616
20,75,Product 75,Petroleum,1.3438,234620
21,40,Product 40,Mining,1.2729,0
22,112,Product 112,Manufacturing,1.2045,0
23,137,Product 137,Services,0.8209,0
24,67,Product 67,Manufacturing,0.8022,14717702
25,70,Product 70,Manufacturing,0.7927,50054746
26,62,Product 62,Manufacturing,0.7757,1653626
27,121,Product 121,Services,0.7609,0
28,46,Product 46,Manufacturing,0.7572,1773343
29,25,Product 25,Agriculture,0.7202,0
30,31,Product 31,Mining,0.7175,0
31,20,Product 20,Agriculture,0.6979,334144705
32,85,Product 85,Manufacturing,0.6978,0
33,80,Product 80,Petroleum,0.6631,1634
34,56,Product 56,Manufacturing,0.6427,1370210
35,63,Product 63,Manufacturing,0.6355,663689
36,51,Product 51,Manufacturing,0.6298,199150
37,86,Product 86,Manufacturing,0.6202,0
38,76,Product 76,Petroleum,0.5984,1474
39,52,Product 52,Manufacturing,0.5737,181391
40,12,Product 12,Agriculture,0.5731,1738746832
41,10,Product 10,Agriculture,0.5552,4218200
42,77,Product 77,Petroleum,0.5502,1356
43,87,Product 87,Manufacturing,0.5264,0
44,136,Product 136,Services,0.5172,0
45,47,Product 47,Manufacturing,0.4903,70010
46,84,Product 84,Manufacturing,0.481,0
47,65,Product 65,Manufacturing,0.4737,364337
48,124,Product 124,Services,0.4692,0
49,106,Product 106,Manufacturing,0.4664,0
50,89,Product 89,Manufacturing,0.4642,0
51,78,Product 78,Petroleum,0.4614,1137
52,116,Product 116,Electricity,0.4608,0
53,140,Product 140,Services,0.4512,0
54,135,Product 135,Services,0.4312,0
55,105,Product 105,Manufacturing,0.3906,0
56,69,Product 69,Manufacturing,0.3786,23908278
57,128,Product 128,Services,0.3769,0
58,133,Product 133,Services,0.3655,0
59,130,Product 130,Services,0.3502,0
60,88,Product 88,Manufacturing,0.3482,0
61,79,Product 79,Petroleum,0.3458,852
62,131,Product 131,Services,0.3244,0
63,57,Product 57,Manufacturing,0.3166,674898
64,33,Product 33,Mining,0.2665,0
65,21,Product 21,Agriculture,0.2564,0
66,82,Product 82,Manufacturing,0.2429,0
67,48,Product 48,Manufacturing,0.2144,148028
68,93,Product 93,Manufacturing,0.2089,0
69,83,Product 83,Manufacturing,0.1914,0
70,100,Product 100,Manufacturing,0.1894,0
71,1,Product 1,Agriculture,0.1878,897003692
72,9,Product 9,Agriculture,0.1859,85056328
73,64,Product 64,Manufacturing,0.1747,0
74,2,Product 2,Agriculture,0.1559,755865681
75,95,Product 95,Manufacturing,0.1485,0
76,38,Product 38,Mining,0.1478,0
77,19,Product 19,Agriculture,0.1443,83374634
78,98,Product 98,Manufacturing,0.1441,0
79,24,Product 24,Agriculture,0.122,30329638
80,107,Product 107,Manufacturing,0.1203,0
81,37,Product 37,Mining,0.1127,0
82,94,Product 94,Manufacturing,0.1125,0
83,15,Product 15,Agriculture,0.1109,53098075
84,18,Product 18,Agriculture,0.1092,63058373
85,50,Product 50,Manufacturing,0.1069,0
86,125,Product 125,Services,0.1065,0
87,8,Product 8,Agriculture,0.1062,48576781
88,55,Product 55,Manufacturing,0.0991,3591
89,101,Product 101,Manufacturing,0.0943,0
90,68,Product 68,Manufacturing,0.0916,70436
91,110,Product 110,Manufacturing,0.0916,0
92,27,Product 27,Agriculture,0.0808,0
93,103,Product 103,Manufacturing,0.0776,0
94,6,Product 6,Agriculture,0.0768,7445165
95,72,Product 72,Petroleum,0.0738,6176264
96,49,Product 49,Manufacturing,0.0727,10383
97,11,Product 11,Agriculture,0.0694,527154
98,28,Product 28,Agriculture,0.0654,0
99,29,Product 29,Agriculture,0.0622,0
100,36,Product 36,Mining,0.062,0
101,97,Product 97,Manufacturing,0.0593,0
102,3,Product 3,Agriculture,0.0589,5710192
103,53,Product 53,Manufacturing,0.0579,0
104,58,Product 58,Manufacturing,0.0559,119264
105,59,Product 59,Manufacturing,0.0548,116767
106,23,Product 23,Agriculture,0.0536,159905
107,4,Product 4,Agriculture,0.052,5038902
108,102,Product 102,Manufacturing,0.0518,0
109,16,Product 16,Agriculture,0.0486,23257777
110,115,Product 115,Electricity,0.0485,0
111,123,Product 123,Services,0.0484,0
112,45,Product 45,Manufacturing,0.0407,33486
113,108,Product 108,Manufacturing,0.0399,0
114,17,Product 17,Agriculture,0.0395,18911772
115,7,Product 7,Agriculture,0.0374,17118218
116,90,Product 90,Manufacturing,0.0352,0
117,60,Product 60,Manufacturing,0.0326,69518
118,34,Product 34,Mining,0.0323,0
119,99,Product 99,Manufacturing,0.0318,0
120,96,Product 96,Manufacturing,0.031,0
121,35,Product 35,Mining,0.0308,0
122,139,Product 139,Services,0.0259,0
123,92,Product 92,Manufacturing,0.0243,0
124,111,Product 111,Manufacturing,0.0196,0
125,91,Product 91,Manufacturing,0.0187,0
126,54,Product 54,Manufacturing,0.0177,0
127,5,Product 5,Agriculture,0.0165,1595588
128,43,Product 43,Manufacturing,0.0161,216150
129,22,Product 22,Agriculture,0.013,0
130,13,Product 13,Agriculture,0.0111,6408468
131,104,Product 104,Manufacturing,0.0107,0
132,26,Product 26,Agriculture,0.0054,0
