Rank,Product_ID,Product_Name,Source_Group,Tourism_Output_cr,Dependency_Index,Water_Coeff,Tourism_Water_m3
1,32,Crude petroleum,Mining,2778970.2678,33.8674,0.0,0
2,127,Financial services,Services,474273.5895,5.78,0.0,0
3,74,Organic chemicals,Manufacturing,349474.2884,4.259,0.0915,31986
4,3,Coarse cereals,Agriculture,311989.5793,3.8022,3668.3235,1144478693
5,75,Fertilizers,Manufacturing,305606.8784,3.7244,6.3756,1948425
6,71,Petroleum products,Manufacturing,271635.628,3.3104,2806.0606,762226034
7,2,Wheat,Agriculture,244369.2386,2.9781,137923.1038,33704163860
8,140,"Recreation, entertainment and radio & TV broadcasting and other services",Services,179930.134,2.1928,0.0,0
9,114,Electricity,Electricity,171544.3746,2.0906,5017.9965,860809064
10,1,Paddy,Agriculture,163700.8958,1.995,180219.7884,29502140792
11,20,Other food crops,Agriculture,153509.4918,1.8708,13037.7532,2001418875
12,6,Other pulses,Agriculture,145788.9675,1.7767,3668.3235,534801089
13,7,Groundnut,Agriculture,145181.2714,1.7693,14048.8608,2039631466
14,30,Coal and Lignite,Mining,145091.299,1.7682,0.0,0
15,113,Construction and construction services,Manufacturing,141464.5765,1.724,0.0,0
16,112,Miscellaneous manufacturing,Manufacturing,136180.9855,1.6596,0.0,0
17,134,Other Business services,Services,98447.2046,1.1998,0.0,0
18,5,Arhar,Agriculture,95761.9238,1.1671,3668.3235,351285712
19,118,Repair & Maintenance of Motor Vehicle,Services,86302.4866,1.0518,0.0,0
20,84,Iron and steel Ferro alloys,Manufacturing,74106.854,0.9031,0.0,0
21,10,kapas,Agriculture,71457.3592,0.8709,123.5709,8830049
22,31,Natural Gas,Mining,68502.0224,0.8348,0.0,0
23,73,Inorganic chemicals,Manufacturing,66628.8373,0.812,0.0915,6098
24,40,Other non metallic minerals,Mining,62464.859,0.7613,0.0,0
25,13,Coconut,Agriculture,61111.2327,0.7448,16089.4759,983247709
26,126,Communication services,Services,54238.9003,0.661,0.0,0
