Rank,Path,Source_Group,Source_Name,Category_Name,Water_m3,Scarce_m3,Share_pct
1,Sugarcane → Processed Fruit/Veg,Agriculture,Sugarcane,Processed Fruit/Veg,1401464889.801814,1159011463.8661,27.194889511230013
2,Paddy → Processed Fruit/Veg,Agriculture,Paddy,Processed Fruit/Veg,343162398.37995076,283795303.46021926,6.6589349303436105
3,Wheat → Processed Fruit/Veg,Agriculture,Wheat,Processed Fruit/Veg,224013573.797115,185259225.5302141,4.34689761602933
4,Other food crops → Processed Fruit/Veg,Agriculture,Other food crops,Processed Fruit/Veg,135474032.15506926,112037024.59224227,2.628821715697013
5,Sugarcane → Beverages,Agriculture,Sugarcane,Beverages,129693735.00117058,107256718.84596807,2.516657262926041
6,Wheat → Railway Transport,Agriculture,Wheat,Railway Transport,116621249.10434844,96445773.00929615,2.2629906800611184
7,Petroleum products → Road Transport,Petroleum,Petroleum products,Road Transport,106258167.68314263,86494148.4940781,2.061899053509257
8,Petroleum products → Hotels & Restaurants,Petroleum,Petroleum products,Hotels & Restaurants,105922954.28464502,86221284.78770104,2.0553943658776492
9,Electricity → Road Transport,Electricity,Electricity,Road Transport,101578101.87766038,82684574.92841554,1.9710841687329612
10,Paddy → Railway Transport,Agriculture,Paddy,Railway Transport,97995817.19813909,81042540.82286102,1.90157130632288
11,Wheat → Hotels & Restaurants,Agriculture,Wheat,Hotels & Restaurants,75647174.38060805,62560213.212762855,1.4679044506126042
12,Paddy → Beverages,Agriculture,Paddy,Beverages,72562805.30796008,60009439.98968298,1.408053449882662
13,Paddy → Grain Mill & Bakery,Agriculture,Paddy,Grain Mill & Bakery,72448206.47942053,59914666.75848077,1.4058297034991973
14,Wheat → Other Services,Agriculture,Wheat,Other Services,71765190.37995715,59349812.444224566,1.3925760376425205
15,Paddy → Hotels & Restaurants,Agriculture,Paddy,Hotels & Restaurants,69250694.20410441,57270324.10679434,1.3437832022484095
16,Electricity → Hotels & Restaurants,Electricity,Electricity,Hotels & Restaurants,67570437.62057804,55002336.223150514,1.3111784666806292
17,Sugarcane → Grain Mill & Bakery,Agriculture,Sugarcane,Grain Mill & Bakery,57126952.20970896,47243989.47742931,1.1085266314991642
18,Other oil seeds → Processed Fruit/Veg,Agriculture,Other oil seeds,Processed Fruit/Veg,56503084.90447687,46728051.216002375,1.0964207253441733
19,Petroleum products → Air Transport,Petroleum,Petroleum products,Air Transport,51358035.32358051,41805440.75339454,0.9965830084663262
20,Paddy → Road Transport,Agriculture,Paddy,Road Transport,51153901.181487486,42304276.27709015,0.9926218636099077
21,Paddy → Ready Made Garments,Agriculture,Paddy,Ready Made Garments,50860051.97493108,42061262.98326801,0.9869198322829624
22,Wheat → Road Transport,Agriculture,Wheat,Road Transport,48670862.81515343,40250803.54813188,0.944439454963089
23,Tea → Processed Fruit/Veg,Agriculture,Tea,Processed Fruit/Veg,44092585.34506094,36464568.08036539,0.8555997338563222
24,Fruits → Processed Fruit/Veg,Agriculture,Fruits,Processed Fruit/Veg,43516024.50757858,35987752.26776748,0.8444117915925297
25,Wheat → Ready Made Garments,Agriculture,Wheat,Ready Made Garments,43268076.15680739,35782698.981679715,0.8396004487948748
26,Wheat → Beverages,Agriculture,Wheat,Beverages,42725698.0955396,35334152.325011246,0.8290758102136123
27,Rapeseed and mustard → Processed Fruit/Veg,Agriculture,Rapeseed and mustard,Processed Fruit/Veg,37261952.13478409,30815634.41546644,0.7230539121258284
28,Paddy → Other Services,Agriculture,Paddy,Other Services,35082899.371363275,29013557.780117426,0.6807702276956393
29,Wheat → Grain Mill & Bakery,Agriculture,Wheat,Grain Mill & Bakery,34879843.75448747,28845630.784961134,0.6768300112080519
30,Petroleum products → Health & Social Work,Petroleum,Petroleum products,Health & Social Work,32015053.32116584,26060253.403428994,0.6212398498890426
31,Sugarcane → Railway Transport,Agriculture,Sugarcane,Railway Transport,31835007.062301654,26327550.840523466,0.6177461211824931
32,Electricity → Processed Fruit/Veg,Electricity,Electricity,Processed Fruit/Veg,30911564.52579906,25162013.524000432,0.5998270723836969
33,Electricity → Health & Social Work,Electricity,Electricity,Health & Social Work,30731844.99330182,25015721.82454768,0.5963396836771818
34,Other food crops → Ready Made Garments,Agriculture,Other food crops,Ready Made Garments,30438904.743811112,25172974.223131787,0.5906552903140212
35,Petroleum products → Processed Fruit/Veg,Petroleum,Petroleum products,Processed Fruit/Veg,26408621.71970787,21496618.079842202,0.5124491915833046
36,Other food crops → Road Transport,Agriculture,Other food crops,Road Transport,26051398.670499157,21544506.7005028,0.5055174151079985
37,Sugarcane → Hotels & Restaurants,Agriculture,Sugarcane,Hotels & Restaurants,25949426.750865076,21460175.922965415,0.5035386890565103
38,Other food crops → Beverages,Agriculture,Other food crops,Beverages,24920510.245863684,20609261.973329265,0.4835729582890769
39,Vegetables → Processed Fruit/Veg,Agriculture,Vegetables,Processed Fruit/Veg,24884417.776690412,20579413.50132297,0.48287259774597874
40,Electricity → Air Transport,Electricity,Electricity,Air Transport,24788339.90614752,20177708.68360408,0.48100824346004467
41,Other food crops → Hotels & Restaurants,Agriculture,Other food crops,Hotels & Restaurants,23825840.840067755,19703970.374736033,0.4623313176610666
42,Petroleum products → Financial Services,Petroleum,Petroleum products,Financial Services,22049083.94890486,17947954.334408555,0.42785403057731797
43,Other food crops → Railway Transport,Agriculture,Other food crops,Railway Transport,21275926.20732271,17595190.97345588,0.4128512006740643
44,Paddy → Other Chemicals,Agriculture,Paddy,Other Chemicals,21258835.03675121,17581056.575393252,0.4125195530539978
45,Wheat → Health & Social Work,Agriculture,Wheat,Health & Social Work,20979409.2306167,17349971.43372001,0.4070974022889587
46,Paddy → Health & Social Work,Agriculture,Paddy,Health & Social Work,20752394.80015075,17162230.499724668,0.4026922741984152
47,Petroleum products → Other Chemicals,Petroleum,Petroleum products,Other Chemicals,20237950.094849426,16473691.377207432,0.3927096716929146
48,Sugarcane → Road Transport,Agriculture,Sugarcane,Road Transport,20137566.682093862,16653767.646091623,0.390761770009103
49,Electricity → Ready Made Garments,Electricity,Electricity,Ready Made Garments,20061428.274790645,16330002.615679584,0.38928433337173934
50,Electricity → Other Chemicals,Electricity,Electricity,Other Chemicals,19371774.24604801,15768624.23628308,0.37590186103931955
